date,gross
2018-08-19,98
2018-08-26,76
2018-09-02,74
2018-09-09,76
2018-09-16,83
2018-09-23,81
2018-09-30,89
2018-10-07,89
2018-10-14,85
2018-10-21,83
2018-10-28,88
2018-11-04,80
2018-11-11,80
2018-11-18,70
2018-11-25,83
2018-12-02,81
2018-12-09,83
2018-12-16,73
2018-12-23,62
2018-12-30,68
2019-01-06,77
2019-01-13,81
2019-01-20,80
2019-01-27,89
2019-02-03,88
2019-02-10,83
2019-02-17,85
2019-02-24,86
2019-03-03,85
2019-03-10,79
2019-03-17,79
2019-03-24,83
2019-03-31,85
2019-04-07,87
2019-04-14,81
2019-04-21,81
2019-04-28,100
2019-05-05,88
2019-05-12,85
2019-05-19,77
2019-05-26,71
2019-06-02,67
2019-06-09,70
2019-06-16,70
2019-06-23,74
2019-06-30,67
2019-07-07,73
2019-07-14,71
2019-07-21,73
2019-07-28,67
2019-08-04,70
2019-08-11,68
2019-08-18,76
2019-08-25,74
2019-09-01,68
2019-09-08,76
2019-09-15,77
2019-09-22,79
2019-09-29,82
2019-10-06,81
2019-10-13,84
2019-10-20,78
2019-10-27,81
2019-11-03,78
2019-11-10,74
2019-11-17,81
2019-11-24,63
2019-12-01,78
2019-12-08,72
2019-12-15,74
2019-12-22,58
2019-12-29,69
2020-01-05,60
2020-01-12,63
2020-01-19,67
2020-01-26,69
2020-02-02,68
2020-02-09,68
2020-02-16,67
2020-02-23,69
2020-03-01,67
2020-03-08,59
2020-03-15,57
2020-03-22,93
2020-03-29,88
2020-04-05,78
2020-04-12,100
2020-04-19,80
2020-04-26,74
2020-05-03,63
2020-05-10,62
2020-05-17,59
2020-05-24,55
2020-05-31,53
2020-06-07,57
2020-06-14,57
2020-06-21,56
2020-06-28,57
2020-07-05,62
2020-07-12,63
2020-07-19,57
2020-07-26,57
2020-08-02,57
2020-08-09,53
2020-08-16,53
2020-08-23,57
2020-08-30,59
2020-09-06,58
2020-09-13,65
2020-09-20,68
2020-09-27,65
2020-10-04,63
2020-10-11,63
2020-10-18,66
2020-10-25,67
2020-11-01,52
2020-11-08,58
2020-11-15,57
2020-11-22,46
2020-11-29,56
2020-12-06,58
