date,economics
2006-03-05,99
2006-03-12,74
2006-03-19,84
2006-03-26,87
2006-04-02,88
2006-04-09,98
2006-04-16,90
2006-04-23,99
2006-04-30,93
2006-05-07,98
2006-05-14,83
2006-05-21,71
2006-05-28,70
2006-06-04,74
2006-06-11,56
2006-06-18,49
2006-06-25,53
2006-07-02,54
2006-07-09,60
2006-07-16,56
2006-07-23,55
2006-07-30,49
2006-08-06,54
2006-08-13,58
2006-08-20,62
2006-08-27,71
2006-09-03,77
2006-09-10,94
2006-09-17,77
2006-09-24,87
2006-10-01,84
2006-10-08,90
2006-10-15,86
2006-10-22,76
2006-10-29,90
2006-11-05,82
2006-11-12,82
2006-11-19,71
2006-11-26,78
2006-12-03,93
2006-12-10,86
2006-12-17,54
2006-12-24,42
2006-12-31,55
2007-01-07,84
2007-01-14,84
2007-01-21,84
2007-01-28,89
2007-02-04,82
2007-02-11,79
2007-02-18,80
2007-02-25,75
2007-03-04,71
2007-03-11,68
2007-03-18,71
2007-03-25,77
2007-04-01,73
2007-04-08,74
2007-04-15,75
2007-04-22,73
2007-04-29,84
2007-05-06,76
2007-05-13,69
2007-05-20,65
2007-05-27,58
2007-06-03,67
2007-06-10,58
2007-06-17,47
2007-06-24,48
2007-07-01,48
2007-07-08,55
2007-07-15,48
2007-07-22,46
2007-07-29,50
2007-08-05,52
2007-08-12,55
2007-08-19,62
2007-08-26,77
2007-09-02,73
2007-09-09,83
2007-09-16,87
2007-09-23,87
2007-09-30,82
2007-10-07,87
2007-10-14,100
2007-10-21,82
2007-10-28,90
2007-11-04,85
2007-11-11,84
2007-11-18,66
2007-11-25,84
2007-12-02,89
2007-12-09,88
2007-12-16,66
2007-12-23,43
2007-12-30,54
2008-01-06,82
2008-01-13,85
2008-01-20,89
2008-01-27,84
2008-02-03,84
2008-02-10,84
2008-02-17,72
2008-02-24,77
2008-03-02,77
2008-03-09,74
2008-03-16,72
2008-03-23,75
2008-03-30,83
2008-04-06,83
2008-04-13,88
2008-04-20,77
2008-04-27,86
2008-05-04,71
2008-05-11,70
2008-05-18,61
2008-05-25,61
2008-06-01,57
2008-06-08,51
2008-06-15,48
2008-06-22,51
2008-06-29,44
2008-07-06,50
2008-07-13,50
2008-07-20,50
2008-07-27,50
2008-08-03,47
2008-08-10,48
2008-08-17,56
2008-08-24,67
2008-08-31,76
2008-09-07,83
2008-09-14,93
2008-09-21,92
2008-09-28,89
2008-10-05,100
2008-10-12,97
2008-10-19,93
2008-10-26,90
2008-11-02,87
2008-11-09,85
2008-11-16,86
2008-11-23,69
2008-11-30,86
2008-12-07,92
2008-12-14,74
2008-12-21,45
2008-12-28,47
2009-01-04,75
2009-01-11,85
2009-01-18,89
2009-01-25,97
2009-02-01,96
2009-02-08,100
2009-02-15,90
2009-02-22,94
2009-03-01,90
2009-03-08,89
2009-03-15,78
2009-03-22,76
2009-03-29,83
2009-04-05,84
2009-04-12,78
2009-04-19,87
2009-04-26,79
2009-05-03,85
2009-05-10,75
2009-05-17,63
2009-05-24,62
2009-05-31,61
2009-06-07,58
2009-06-14,55
2009-06-21,51
2009-06-28,49
2009-07-05,52
2009-07-12,59
2009-07-19,49
2009-07-26,51
2009-08-02,51
2009-08-09,51
2009-08-16,61
2009-08-23,71
2009-08-30,81
2009-09-06,82
2009-09-13,81
2009-09-20,93
2009-09-27,88
2009-10-04,95
2009-10-11,95
2009-10-18,83
2009-10-25,86
2009-11-01,87
2009-11-08,85
2009-11-15,87
2009-11-22,68
2009-11-29,85
2009-12-06,90
2009-12-13,84
2009-12-20,43
2009-12-27,44
2010-01-03,71
2010-01-10,88
2010-01-17,98
2010-01-24,100
2010-01-31,99
2010-02-07,90
2010-02-14,85
2010-02-21,91
2010-02-28,93
2010-03-07,82
2010-03-14,79
2010-03-21,91
2010-03-28,87
2010-04-04,87
2010-04-11,98
2010-04-18,90
2010-04-25,87
2010-05-02,94
2010-05-09,92
2010-05-16,76
2010-05-23,67
2010-05-30,59
2010-06-06,62
2010-06-13,60
2010-06-20,49
2010-06-27,55
2010-07-04,47
2010-07-11,53
2010-07-18,52
2010-07-25,52
2010-08-01,50
2010-08-08,51
2010-08-15,58
2010-08-22,74
2010-08-29,79
2010-09-05,89
2010-09-12,88
2010-09-19,86
2010-09-26,88
2010-10-03,92
2010-10-10,100
2010-10-17,89
2010-10-24,87
2010-10-31,97
2010-11-07,94
2010-11-14,90
2010-11-21,64
2010-11-28,89
2010-12-05,95
2010-12-12,83
2010-12-19,54
2010-12-26,44
2011-01-02,79
2011-01-09,82
2011-01-16,91
2011-01-23,92
2011-01-30,90
2011-02-06,89
2011-02-13,86
2011-02-20,83
2011-02-27,86
2011-03-06,79
2011-03-13,69
2011-03-20,78
2011-03-27,83
2011-04-03,88
2011-04-10,89
2011-04-17,86
2011-04-24,90
2011-05-01,85
2011-05-08,91
2011-05-15,74
2011-05-22,67
2011-05-29,64
2011-06-05,67
2011-06-12,58
2011-06-19,53
2011-06-26,54
2011-07-03,56
2011-07-10,56
2011-07-17,55
2011-07-24,55
2011-07-31,62
2011-08-07,67
2011-08-14,68
2011-08-21,74
2011-08-28,88
2011-09-04,97
2011-09-11,99
2011-09-18,100
2011-09-25,96
2011-10-02,90
2011-10-09,96
2011-10-16,89
2011-10-23,87
2011-10-30,93
2011-11-06,93
2011-11-13,89
2011-11-20,63
2011-11-27,84
2011-12-04,95
2011-12-11,92
2011-12-18,54
2011-12-25,45
2012-01-01,63
2012-01-08,82
2012-01-15,80
2012-01-22,98
2012-01-29,92
2012-02-05,91
2012-02-12,87
2012-02-19,83
2012-02-26,82
2012-03-04,77
2012-03-11,67
2012-03-18,78
2012-03-25,84
2012-04-01,76
2012-04-08,77
2012-04-15,79
2012-04-22,85
2012-04-29,88
2012-05-06,79
2012-05-13,73
2012-05-20,65
2012-05-27,57
2012-06-03,59
2012-06-10,54
2012-06-17,50
2012-06-24,47
2012-07-01,45
2012-07-08,53
2012-07-15,48
2012-07-22,49
2012-07-29,45
2012-08-05,46
2012-08-12,60
2012-08-19,71
2012-08-26,87
2012-09-02,97
2012-09-09,100
2012-09-16,91
2012-09-23,93
2012-09-30,93
2012-10-07,86
2012-10-14,94
2012-10-21,89
2012-10-28,77
2012-11-04,84
2012-11-11,85
2012-11-18,63
2012-11-25,81
2012-12-02,86
2012-12-09,91
2012-12-16,59
2012-12-23,34
2012-12-30,49
2013-01-06,84
2013-01-13,95
2013-01-20,96
2013-01-27,100
2013-02-03,94
2013-02-10,91
2013-02-17,90
2013-02-24,91
2013-03-03,87
2013-03-10,80
2013-03-17,80
2013-03-24,78
2013-03-31,87
2013-04-07,92
2013-04-14,88
2013-04-21,93
2013-04-28,95
2013-05-05,92
2013-05-12,85
2013-05-19,74
2013-05-26,61
2013-06-02,64
2013-06-09,55
2013-06-16,49
2013-06-23,48
2013-06-30,42
2013-07-07,50
2013-07-14,49
2013-07-21,51
2013-07-28,46
2013-08-04,52
2013-08-11,59
2013-08-18,66
2013-08-25,86
2013-09-01,91
2013-09-08,99
2013-09-15,96
2013-09-22,96
2013-09-29,98
2013-10-06,94
2013-10-13,97
2013-10-20,95
2013-10-27,95
2013-11-03,95
2013-11-10,93
2013-11-17,94
2013-11-24,62
2013-12-01,93
2013-12-08,98
2013-12-15,79
2013-12-22,35
2013-12-29,45
2014-01-05,76
2014-01-12,93
2014-01-19,88
2014-01-26,96
2014-02-02,88
2014-02-09,86
2014-02-16,83
2014-02-23,91
2014-03-02,83
2014-03-09,77
2014-03-16,78
2014-03-23,83
2014-03-30,83
2014-04-06,85
2014-04-13,79
2014-04-20,88
2014-04-27,89
2014-05-04,89
2014-05-11,81
2014-05-18,74
2014-05-25,62
2014-06-01,59
2014-06-08,58
2014-06-15,47
2014-06-22,47
2014-06-29,44
2014-07-06,48
2014-07-13,47
2014-07-20,45
2014-07-27,45
2014-08-03,48
2014-08-10,50
2014-08-17,64
2014-08-24,86
2014-08-31,94
2014-09-07,100
2014-09-14,97
2014-09-21,98
2014-09-28,95
2014-10-05,96
2014-10-12,94
2014-10-19,90
2014-10-26,93
2014-11-02,90
2014-11-09,88
2014-11-16,92
2014-11-23,59
2014-11-30,85
2014-12-07,98
2014-12-14,83
2014-12-21,38
2014-12-28,37
2015-01-04,65
2015-01-11,77
2015-01-18,80
2015-01-25,89
2015-02-01,84
2015-02-08,82
2015-02-15,71
2015-02-22,79
2015-03-01,78
2015-03-08,74
2015-03-15,72
2015-03-22,82
2015-03-29,75
2015-04-05,72
2015-04-12,78
2015-04-19,84
2015-04-26,83
2015-05-03,85
2015-05-10,77
2015-05-17,67
2015-05-24,57
2015-05-31,54
2015-06-07,48
2015-06-14,41
2015-06-21,41
2015-06-28,38
2015-07-05,39
2015-07-12,41
2015-07-19,43
2015-07-26,39
2015-08-02,41
2015-08-09,47
2015-08-16,54
2015-08-23,80
2015-08-30,88
2015-09-06,86
2015-09-13,100
2015-09-20,89
2015-09-27,88
2015-10-04,89
2015-10-11,87
2015-10-18,85
2015-10-25,91
2015-11-01,85
2015-11-08,85
2015-11-15,81
2015-11-22,51
2015-11-29,78
2015-12-06,84
2015-12-13,79
2015-12-20,36
2015-12-27,33
2016-01-03,72
2016-01-10,86
2016-01-17,83
2016-01-24,99
2016-01-31,98
2016-02-07,91
2016-02-14,83
2016-02-21,91
2016-02-28,85
2016-03-06,82
2016-03-13,75
2016-03-20,73
2016-03-27,80
2016-04-03,85
2016-04-10,91
2016-04-17,80
2016-04-24,84
2016-05-01,88
2016-05-08,84
2016-05-15,69
2016-05-22,62
2016-05-29,48
2016-06-05,53
2016-06-12,42
2016-06-19,41
2016-06-26,42
2016-07-03,36
2016-07-10,37
2016-07-17,41
2016-07-24,43
2016-07-31,40
2016-08-07,43
2016-08-14,51
2016-08-21,74
2016-08-28,86
2016-09-04,84
2016-09-11,92
2016-09-18,90
2016-09-25,96
2016-10-02,86
2016-10-09,100
2016-10-16,85
2016-10-23,87
2016-10-30,83
2016-11-06,79
2016-11-13,88
2016-11-20,53
2016-11-27,83
2016-12-04,91
2016-12-11,89
2016-12-18,50
2016-12-25,30
2017-01-01,60
2017-01-08,85
2017-01-15,88
2017-01-22,99
2017-01-29,100
2017-02-05,92
2017-02-12,93
2017-02-19,84
2017-02-26,96
2017-03-05,86
2017-03-12,76
2017-03-19,84
2017-03-26,89
2017-04-02,85
2017-04-09,79
2017-04-16,80
2017-04-23,96
2017-04-30,90
2017-05-07,91
2017-05-14,71
2017-05-21,64
2017-05-28,51
2017-06-04,51
2017-06-11,45
2017-06-18,39
2017-06-25,41
2017-07-02,38
2017-07-09,40
2017-07-16,39
2017-07-23,39
2017-07-30,40
2017-08-06,44
2017-08-13,54
2017-08-20,66
2017-08-27,81
2017-09-03,82
2017-09-10,88
2017-09-17,88
2017-09-24,88
2017-10-01,85
2017-10-08,89
2017-10-15,89
2017-10-22,84
2017-10-29,90
2017-11-05,81
2017-11-12,89
2017-11-19,50
2017-11-26,83
2017-12-03,91
2017-12-10,98
2017-12-17,67
2017-12-24,35
2017-12-31,50
2018-01-07,87
2018-01-14,82
2018-01-21,99
2018-01-28,100
2018-02-04,98
2018-02-11,91
2018-02-18,82
2018-02-25,97
2018-03-04,89
2018-03-11,72
2018-03-18,83
2018-03-25,75
2018-04-01,78
2018-04-08,86
2018-04-15,86
2018-04-22,83
2018-04-29,89
2018-05-06,85
2018-05-13,81
2018-05-20,64
2018-05-27,57
2018-06-03,52
2018-06-10,48
2018-06-17,40
2018-06-24,42
2018-07-01,38
2018-07-08,40
2018-07-15,40
2018-07-22,39
2018-07-29,42
2018-08-05,45
2018-08-12,54
2018-08-19,75
2018-08-26,91
2018-09-02,89
2018-09-09,97
2018-09-16,96
2018-09-23,93
2018-09-30,91
2018-10-07,88
2018-10-14,86
2018-10-21,88
2018-10-28,87
2018-11-04,84
2018-11-11,85
2018-11-18,48
2018-11-25,79
2018-12-02,88
2018-12-09,93
2018-12-16,70
2018-12-23,32
2018-12-30,47
2019-01-06,91
2019-01-13,100
2019-01-20,89
2019-01-27,98
2019-02-03,99
2019-02-10,95
2019-02-17,85
2019-02-24,91
2019-03-03,88
2019-03-10,81
2019-03-17,82
2019-03-24,84
2019-03-31,89
2019-04-07,87
2019-04-14,76
2019-04-21,83
2019-04-28,88
2019-05-05,85
2019-05-12,80
2019-05-19,66
2019-05-26,55
2019-06-02,54
2019-06-09,51
2019-06-16,44
2019-06-23,42
2019-06-30,39
2019-07-07,44
2019-07-14,43
2019-07-21,39
2019-07-28,41
2019-08-04,43
2019-08-11,54
2019-08-18,73
2019-08-25,94
2019-09-01,86
2019-09-08,99
2019-09-15,93
2019-09-22,93
2019-09-29,90
2019-10-06,85
2019-10-13,94
2019-10-20,88
2019-10-27,85
2019-11-03,82
2019-11-10,82
2019-11-17,82
2019-11-24,48
2019-12-01,79
2019-12-08,87
2019-12-15,71
2019-12-22,28
2019-12-29,35
2020-01-05,67
2020-01-12,81
2020-01-19,83
2020-01-26,88
2020-02-02,88
2020-02-09,83
2020-02-16,76
2020-02-23,81
2020-03-01,79
2020-03-08,66
2020-03-15,55
2020-03-22,62
2020-03-29,71
2020-04-05,67
2020-04-12,70
2020-04-19,71
2020-04-26,74
2020-05-03,69
2020-05-10,63
2020-05-17,60
2020-05-24,47
2020-05-31,45
2020-06-07,50
2020-06-14,45
2020-06-21,42
2020-06-28,44
2020-07-05,40
2020-07-12,44
2020-07-19,41
2020-07-26,41
2020-08-02,50
2020-08-09,55
2020-08-16,67
2020-08-23,87
2020-08-30,95
2020-09-06,95
2020-09-13,100
2020-09-20,97
2020-09-27,84
2020-10-04,82
2020-10-11,68
2020-10-18,69
2020-10-25,65
2020-11-01,48
2020-11-08,65
2020-11-15,55
2020-11-22,37
2020-11-29,54
2020-12-06,64
