date,home depot
2008-06-22,90
2008-06-29,98
2008-07-06,90
2008-07-13,86
2008-07-20,83
2008-07-27,84
2008-08-03,81
2008-08-10,74
2008-08-17,77
2008-08-24,77
2008-08-31,83
2008-09-07,72
2008-09-14,76
2008-09-21,72
2008-09-28,70
2008-10-05,71
2008-10-12,69
2008-10-19,69
2008-10-26,69
2008-11-02,70
2008-11-09,77
2008-11-16,74
2008-11-23,88
2008-11-30,79
2008-12-07,74
2008-12-14,72
2008-12-21,79
2008-12-28,89
2009-01-04,75
2009-01-11,75
2009-01-18,73
2009-01-25,77
2009-02-01,70
2009-02-08,68
2009-02-15,72
2009-02-22,73
2009-03-01,73
2009-03-08,76
2009-03-15,80
2009-03-22,81
2009-03-29,82
2009-04-05,82
2009-04-12,86
2009-04-19,92
2009-04-26,90
2009-05-03,87
2009-05-10,88
2009-05-17,99
2009-05-24,98
2009-05-31,89
2009-06-07,87
2009-06-14,97
2009-06-21,95
2009-06-28,99
2009-07-05,85
2009-07-12,86
2009-07-19,84
2009-07-26,86
2009-08-02,86
2009-08-09,81
2009-08-16,83
2009-08-23,79
2009-08-30,85
2009-09-06,82
2009-09-13,75
2009-09-20,72
2009-09-27,74
2009-10-04,74
2009-10-11,75
2009-10-18,70
2009-10-25,73
2009-11-01,73
2009-11-08,76
2009-11-15,78
2009-11-22,100
2009-11-29,86
2009-12-06,79
2009-12-13,74
2009-12-20,75
2009-12-27,91
2010-01-03,73
2010-01-10,73
2010-01-17,71
2010-01-24,69
2010-01-31,67
2010-02-07,66
2010-02-14,69
2010-02-21,67
2010-02-28,70
2010-03-07,77
2010-03-14,85
2010-03-21,82
2010-03-28,95
2010-04-04,94
2010-04-11,92
2010-04-18,91
2010-04-25,91
2010-05-02,96
2010-05-09,89
2010-05-16,95
2010-05-23,93
2010-05-30,96
2010-06-06,84
2010-06-13,90
2010-06-20,84
2010-06-27,92
2010-07-04,87
2010-07-11,75
2010-07-18,78
2010-07-25,76
2010-08-01,76
2010-08-08,70
2010-08-15,71
2010-08-22,71
2010-08-29,72
2010-09-05,75
2010-09-12,72
2010-09-19,69
2010-09-26,67
2010-10-03,67
2010-10-10,67
2010-10-17,68
2010-10-24,66
2010-10-31,71
2010-11-07,76
2010-11-14,78
2010-11-21,100
2010-11-28,86
2010-12-05,75
2010-12-12,74
2010-12-19,73
2010-12-26,91
2011-01-02,60
2011-01-09,58
2011-01-16,62
2011-01-23,60
2011-01-30,64
2011-02-06,57
2011-02-13,63
2011-02-20,64
2011-02-27,67
2011-03-06,66
2011-03-13,69
2011-03-20,74
2011-03-27,74
2011-04-03,75
2011-04-10,75
2011-04-17,76
2011-04-24,78
2011-05-01,78
2011-05-08,80
2011-05-15,78
2011-05-22,88
2011-05-29,100
2011-06-05,85
2011-06-12,85
2011-06-19,78
2011-06-26,85
2011-07-03,89
2011-07-10,78
2011-07-17,81
2011-07-24,76
2011-07-31,78
2011-08-07,74
2011-08-14,79
2011-08-21,81
2011-08-28,85
2011-09-04,85
2011-09-11,73
2011-09-18,70
2011-09-25,71
2011-10-02,71
2011-10-09,69
2011-10-16,66
2011-10-23,67
2011-10-30,69
2011-11-06,70
2011-11-13,74
2011-11-20,95
2011-11-27,79
2011-12-04,74
2011-12-11,67
2011-12-18,69
2011-12-25,74
2012-01-01,65
2012-01-08,63
2012-01-15,64
2012-01-22,59
2012-01-29,62
2012-02-05,59
2012-02-12,58
2012-02-19,65
2012-02-26,64
2012-03-04,68
2012-03-11,74
2012-03-18,78
2012-03-25,75
2012-04-01,76
2012-04-08,75
2012-04-15,74
2012-04-22,76
2012-04-29,73
2012-05-06,74
2012-05-13,76
2012-05-20,87
2012-05-27,86
2012-06-03,78
2012-06-10,79
2012-06-17,81
2012-06-24,80
2012-07-01,92
2012-07-08,78
2012-07-15,74
2012-07-22,71
2012-07-29,73
2012-08-05,74
2012-08-12,73
2012-08-19,71
2012-08-26,75
2012-09-02,74
2012-09-09,64
2012-09-16,65
2012-09-23,64
2012-09-30,63
2012-10-07,65
2012-10-14,66
2012-10-21,69
2012-10-28,76
2012-11-04,68
2012-11-11,73
2012-11-18,100
2012-11-25,81
2012-12-02,75
2012-12-09,66
2012-12-16,66
2012-12-23,72
2012-12-30,76
2013-01-06,59
2013-01-13,58
2013-01-20,58
2013-01-27,60
2013-02-03,59
2013-02-10,59
2013-02-17,63
2013-02-24,62
2013-03-03,65
2013-03-10,69
2013-03-17,69
2013-03-24,72
2013-03-31,76
2013-04-07,84
2013-04-14,77
2013-04-21,81
2013-04-28,87
2013-05-05,83
2013-05-12,83
2013-05-19,86
2013-05-26,96
2013-06-02,86
2013-06-09,86
2013-06-16,82
2013-06-23,86
2013-06-30,97
2013-07-07,82
2013-07-14,80
2013-07-21,77
2013-07-28,76
2013-08-04,76
2013-08-11,75
2013-08-18,70
2013-08-25,75
2013-09-01,77
2013-09-08,69
2013-09-15,65
2013-09-22,67
2013-09-29,67
2013-10-06,67
2013-10-13,68
2013-10-20,68
2013-10-27,68
2013-11-03,74
2013-11-10,75
2013-11-17,76
2013-11-24,100
2013-12-01,78
2013-12-08,70
2013-12-15,68
2013-12-22,75
2013-12-29,78
2014-01-05,68
2014-01-12,64
2014-01-19,67
2014-01-26,65
2014-02-02,62
2014-02-09,65
2014-02-16,69
2014-02-23,68
2014-03-02,69
2014-03-09,70
2014-03-16,71
2014-03-23,76
2014-03-30,78
2014-04-06,84
2014-04-13,84
2014-04-20,86
2014-04-27,85
2014-05-04,91
2014-05-11,90
2014-05-18,93
2014-05-25,100
2014-06-01,95
2014-06-08,86
2014-06-15,84
2014-06-22,84
2014-06-29,96
2014-07-06,84
2014-07-13,81
2014-07-20,83
2014-07-27,79
2014-08-03,79
2014-08-10,77
2014-08-17,78
2014-08-24,77
2014-08-31,83
2014-09-07,73
2014-09-14,75
2014-09-21,72
2014-09-28,70
2014-10-05,69
2014-10-12,67
2014-10-19,68
2014-10-26,68
2014-11-02,71
2014-11-09,78
2014-11-16,77
2014-11-23,99
2014-11-30,81
2014-12-07,72
2014-12-14,68
2014-12-21,73
2014-12-28,82
2015-01-04,62
2015-01-11,60
2015-01-18,58
2015-01-25,62
2015-02-01,58
2015-02-08,58
2015-02-15,63
2015-02-22,62
2015-03-01,63
2015-03-08,65
2015-03-15,70
2015-03-22,73
2015-03-29,74
2015-04-05,79
2015-04-12,82
2015-04-19,77
2015-04-26,78
2015-05-03,85
2015-05-10,82
2015-05-17,84
2015-05-24,91
2015-05-31,79
2015-06-07,85
2015-06-14,83
2015-06-21,83
2015-06-28,95
2015-07-05,82
2015-07-12,77
2015-07-19,80
2015-07-26,78
2015-08-02,78
2015-08-09,76
2015-08-16,74
2015-08-23,72
2015-08-30,76
2015-09-06,76
2015-09-13,66
2015-09-20,67
2015-09-27,67
2015-10-04,66
2015-10-11,67
2015-10-18,65
2015-10-25,62
2015-11-01,67
2015-11-08,70
2015-11-15,69
2015-11-22,100
2015-11-29,78
2015-12-06,68
2015-12-13,64
2015-12-20,70
2015-12-27,81
2016-01-03,58
2016-01-10,53
2016-01-17,59
2016-01-24,55
2016-01-31,57
2016-02-07,56
2016-02-14,58
2016-02-21,61
2016-02-28,60
2016-03-06,64
2016-03-13,67
2016-03-20,66
2016-03-27,71
2016-04-03,73
2016-04-10,75
2016-04-17,76
2016-04-24,74
2016-05-01,74
2016-05-08,74
2016-05-15,77
2016-05-22,84
2016-05-29,92
2016-06-05,76
2016-06-12,79
2016-06-19,79
2016-06-26,80
2016-07-03,83
2016-07-10,76
2016-07-17,73
2016-07-24,72
2016-07-31,72
2016-08-07,64
2016-08-14,65
2016-08-21,64
2016-08-28,69
2016-09-04,73
2016-09-11,61
2016-09-18,60
2016-09-25,60
2016-10-02,64
2016-10-09,63
2016-10-16,61
2016-10-23,61
2016-10-30,60
2016-11-06,60
2016-11-13,68
2016-11-20,100
2016-11-27,78
2016-12-04,68
2016-12-11,62
2016-12-18,65
2016-12-25,69
2017-01-01,62
2017-01-08,52
2017-01-15,54
2017-01-22,52
2017-01-29,55
2017-02-05,50
2017-02-12,51
2017-02-19,58
2017-02-26,58
2017-03-05,61
2017-03-12,60
2017-03-19,62
2017-03-26,69
2017-04-02,70
2017-04-09,73
2017-04-16,72
2017-04-23,72
2017-04-30,73
2017-05-07,70
2017-05-14,71
2017-05-21,80
2017-05-28,88
2017-06-04,76
2017-06-11,77
2017-06-18,78
2017-06-25,81
2017-07-02,89
2017-07-09,74
2017-07-16,71
2017-07-23,72
2017-07-30,71
2017-08-06,71
2017-08-13,68
2017-08-20,65
2017-08-27,68
2017-09-03,77
2017-09-10,63
2017-09-17,61
2017-09-24,61
2017-10-01,60
2017-10-08,61
2017-10-15,60
2017-10-22,58
2017-10-29,63
2017-11-05,66
2017-11-12,68
2017-11-19,100
2017-11-26,74
2017-12-03,65
2017-12-10,61
2017-12-17,64
2017-12-24,71
2017-12-31,70
2018-01-07,58
2018-01-14,58
2018-01-21,55
2018-01-28,57
2018-02-04,55
2018-02-11,56
2018-02-18,59
2018-02-25,63
2018-03-04,65
2018-03-11,61
2018-03-18,64
2018-03-25,68
2018-04-01,71
2018-04-08,72
2018-04-15,71
2018-04-22,76
2018-04-29,78
2018-05-06,81
2018-05-13,76
2018-05-20,84
2018-05-27,94
2018-06-03,80
2018-06-10,82
2018-06-17,78
2018-06-24,79
2018-07-01,93
2018-07-08,80
2018-07-15,74
2018-07-22,73
2018-07-29,74
2018-08-05,72
2018-08-12,70
2018-08-19,69
2018-08-26,70
2018-09-02,74
2018-09-09,63
2018-09-16,61
2018-09-23,61
2018-09-30,61
2018-10-07,62
2018-10-14,59
2018-10-21,60
2018-10-28,62
2018-11-04,64
2018-11-11,70
2018-11-18,100
2018-11-25,76
2018-12-02,66
2018-12-09,60
2018-12-16,60
2018-12-23,67
2018-12-30,69
2019-01-06,55
2019-01-13,57
2019-01-20,55
2019-01-27,59
2019-02-03,56
2019-02-10,54
2019-02-17,59
2019-02-24,59
2019-03-03,59
2019-03-10,66
2019-03-17,69
2019-03-24,73
2019-03-31,74
2019-04-07,79
2019-04-14,79
2019-04-21,79
2019-04-28,79
2019-05-05,77
2019-05-12,78
2019-05-19,89
2019-05-26,97
2019-06-02,84
2019-06-09,84
2019-06-16,83
2019-06-23,86
2019-06-30,97
2019-07-07,80
2019-07-14,79
2019-07-21,79
2019-07-28,76
2019-08-04,71
2019-08-11,72
2019-08-18,72
2019-08-25,76
2019-09-01,79
2019-09-08,67
2019-09-15,64
2019-09-22,64
2019-09-29,66
2019-10-06,64
2019-10-13,63
2019-10-20,65
2019-10-27,65
2019-11-03,68
2019-11-10,71
2019-11-17,72
2019-11-24,100
2019-12-01,76
2019-12-08,65
2019-12-15,61
2019-12-22,72
2019-12-29,75
2020-01-05,42
2020-01-12,43
2020-01-19,44
2020-01-26,42
2020-02-02,42
2020-02-09,43
2020-02-16,45
2020-02-23,47
2020-03-01,48
2020-03-08,52
2020-03-15,63
2020-03-22,69
2020-03-29,73
2020-04-05,76
2020-04-12,85
2020-04-19,91
2020-04-26,97
2020-05-03,97
2020-05-10,91
2020-05-17,100
2020-05-24,99
2020-05-31,86
2020-06-07,86
2020-06-14,84
2020-06-21,82
2020-06-28,86
2020-07-05,76
2020-07-12,72
2020-07-19,71
2020-07-26,69
2020-08-02,70
2020-08-09,68
2020-08-16,66
2020-08-23,64
2020-08-30,65
2020-09-06,65
2020-09-13,58
2020-09-20,59
2020-09-27,60
2020-10-04,59
2020-10-11,62
2020-10-18,60
2020-10-25,60
2020-11-01,50
2020-11-08,66
2020-11-15,70
2020-11-22,87
2020-11-29,71
2020-12-06,62
