date,portfolio
2014-09-28,85
2014-10-05,82
2014-10-12,87
2014-10-19,81
2014-10-26,86
2014-11-02,86
2014-11-09,93
2014-11-16,89
2014-11-23,74
2014-11-30,97
2014-12-07,93
2014-12-14,86
2014-12-21,58
2014-12-28,65
2015-01-04,80
2015-01-11,89
2015-01-18,81
2015-01-25,88
2015-02-01,87
2015-02-08,83
2015-02-15,86
2015-02-22,88
2015-03-01,87
2015-03-08,89
2015-03-15,88
2015-03-22,88
2015-03-29,85
2015-04-05,89
2015-04-12,89
2015-04-19,92
2015-04-26,100
2015-05-03,89
2015-05-10,86
2015-05-17,79
2015-05-24,73
2015-05-31,77
2015-06-07,78
2015-06-14,73
2015-06-21,75
2015-06-28,68
2015-07-05,73
2015-07-12,73
2015-07-19,77
2015-07-26,75
2015-08-02,74
2015-08-09,81
2015-08-16,78
2015-08-23,88
2015-08-30,77
2015-09-06,77
2015-09-13,82
2015-09-20,77
2015-09-27,83
2015-10-04,85
2015-10-11,82
2015-10-18,80
2015-10-25,85
2015-11-01,87
2015-11-08,92
2015-11-15,81
2015-11-22,60
2015-11-29,87
2015-12-06,89
2015-12-13,82
2015-12-20,56
2015-12-27,63
2016-01-03,83
2016-01-10,84
2016-01-17,85
2016-01-24,85
2016-01-31,86
2016-02-07,93
2016-02-14,84
2016-02-21,87
2016-02-28,89
2016-03-06,87
2016-03-13,88
2016-03-20,87
2016-03-27,89
2016-04-03,93
2016-04-10,94
2016-04-17,91
2016-04-24,96
2016-05-01,95
2016-05-08,87
2016-05-15,82
2016-05-22,79
2016-05-29,66
2016-06-05,72
2016-06-12,77
2016-06-19,71
2016-06-26,75
2016-07-03,64
2016-07-10,72
2016-07-17,72
2016-07-24,72
2016-07-31,73
2016-08-07,75
2016-08-14,71
2016-08-21,76
2016-08-28,73
2016-09-04,74
2016-09-11,74
2016-09-18,76
2016-09-25,80
2016-10-02,78
2016-10-09,82
2016-10-16,85
2016-10-23,84
2016-10-30,82
2016-11-06,78
2016-11-13,92
2016-11-20,65
2016-11-27,94
2016-12-04,100
2016-12-11,90
2016-12-18,69
2016-12-25,60
2017-01-01,68
2017-01-08,78
2017-01-15,76
2017-01-22,77
2017-01-29,80
2017-02-05,75
2017-02-12,80
2017-02-19,79
2017-02-26,85
2017-03-05,88
2017-03-12,80
2017-03-19,81
2017-03-26,80
2017-04-02,89
2017-04-09,81
2017-04-16,84
2017-04-23,96
2017-04-30,100
2017-05-07,84
2017-05-14,74
2017-05-21,67
2017-05-28,64
2017-06-04,77
2017-06-11,66
2017-06-18,67
2017-06-25,66
2017-07-02,60
2017-07-09,66
2017-07-16,71
2017-07-23,71
2017-07-30,71
2017-08-06,72
2017-08-13,68
2017-08-20,62
2017-08-27,69
2017-09-03,64
2017-09-10,74
2017-09-17,76
2017-09-24,74
2017-10-01,79
2017-10-08,81
2017-10-15,87
2017-10-22,79
2017-10-29,86
2017-11-05,80
2017-11-12,79
2017-11-19,61
2017-11-26,85
2017-12-03,87
2017-12-10,85
2017-12-17,71
2017-12-24,60
2017-12-31,80
2018-01-07,90
2018-01-14,86
2018-01-21,93
2018-01-28,97
2018-02-04,92
2018-02-11,90
2018-02-18,81
2018-02-25,91
2018-03-04,95
2018-03-11,85
2018-03-18,86
2018-03-25,84
2018-04-01,91
2018-04-08,90
2018-04-15,97
2018-04-22,100
2018-04-29,97
2018-05-06,89
2018-05-13,78
2018-05-20,74
2018-05-27,71
2018-06-03,71
2018-06-10,75
2018-06-17,65
2018-06-24,66
2018-07-01,61
2018-07-08,74
2018-07-15,69
2018-07-22,69
2018-07-29,73
2018-08-05,77
2018-08-12,77
2018-08-19,74
2018-08-26,75
2018-09-02,75
2018-09-09,81
2018-09-16,77
2018-09-23,79
2018-09-30,83
2018-10-07,82
2018-10-14,80
2018-10-21,82
2018-10-28,85
2018-11-04,82
2018-11-11,80
2018-11-18,61
2018-11-25,82
2018-12-02,93
2018-12-09,84
2018-12-16,72
2018-12-23,55
2018-12-30,69
2019-01-06,75
2019-01-13,71
2019-01-20,71
2019-01-27,75
2019-02-03,77
2019-02-10,72
2019-02-17,76
2019-02-24,81
2019-03-03,78
2019-03-10,78
2019-03-17,73
2019-03-24,73
2019-03-31,79
2019-04-07,80
2019-04-14,75
2019-04-21,86
2019-04-28,100
2019-05-05,76
2019-05-12,72
2019-05-19,69
2019-05-26,62
2019-06-02,69
2019-06-09,66
2019-06-16,72
2019-06-23,65
2019-06-30,57
2019-07-07,66
2019-07-14,68
2019-07-21,64
2019-07-28,65
2019-08-04,66
2019-08-11,67
2019-08-18,69
2019-08-25,70
2019-09-01,65
2019-09-08,72
2019-09-15,75
2019-09-22,73
2019-09-29,76
2019-10-06,73
2019-10-13,75
2019-10-20,78
2019-10-27,77
2019-11-03,74
2019-11-10,76
2019-11-17,76
2019-11-24,57
2019-12-01,77
2019-12-08,79
2019-12-15,65
2019-12-22,49
2019-12-29,60
2020-01-05,88
2020-01-12,87
2020-01-19,88
2020-01-26,89
2020-02-02,91
2020-02-09,91
2020-02-16,91
2020-02-23,100
2020-03-01,94
2020-03-08,94
2020-03-15,82
2020-03-22,90
2020-03-29,87
2020-04-05,85
2020-04-12,94
2020-04-19,88
2020-04-26,94
2020-05-03,92
2020-05-10,90
2020-05-17,86
2020-05-24,81
2020-05-31,81
2020-06-07,85
2020-06-14,80
2020-06-21,73
2020-06-28,75
2020-07-05,80
2020-07-12,80
2020-07-19,81
2020-07-26,83
2020-08-02,81
2020-08-09,86
2020-08-16,83
2020-08-23,83
2020-08-30,94
2020-09-06,82
2020-09-13,80
2020-09-20,86
2020-09-27,82
2020-10-04,83
2020-10-11,80
2020-10-18,78
2020-10-25,80
2020-11-01,65
2020-11-08,81
2020-11-15,81
2020-11-22,70
2020-11-29,84
2020-12-06,90
