date,invest
2012-03-18,79
2012-03-25,81
2012-04-01,78
2012-04-08,82
2012-04-15,84
2012-04-22,80
2012-04-29,80
2012-05-06,72
2012-05-13,93
2012-05-20,79
2012-05-27,68
2012-06-03,61
2012-06-10,67
2012-06-17,67
2012-06-24,66
2012-07-01,58
2012-07-08,68
2012-07-15,68
2012-07-22,70
2012-07-29,65
2012-08-05,62
2012-08-12,71
2012-08-19,68
2012-08-26,65
2012-09-02,80
2012-09-09,76
2012-09-16,89
2012-09-23,77
2012-09-30,74
2012-10-07,68
2012-10-14,77
2012-10-21,72
2012-10-28,71
2012-11-04,72
2012-11-11,73
2012-11-18,64
2012-11-25,80
2012-12-02,77
2012-12-09,73
2012-12-16,60
2012-12-23,60
2012-12-30,82
2013-01-06,66
2013-01-13,68
2013-01-20,68
2013-01-27,75
2013-02-03,73
2013-02-10,74
2013-02-17,75
2013-02-24,69
2013-03-03,69
2013-03-10,70
2013-03-17,70
2013-03-24,64
2013-03-31,72
2013-04-07,70
2013-04-14,69
2013-04-21,66
2013-04-28,69
2013-05-05,70
2013-05-12,73
2013-05-19,62
2013-05-26,61
2013-06-02,62
2013-06-09,57
2013-06-16,59
2013-06-23,59
2013-06-30,54
2013-07-07,60
2013-07-14,57
2013-07-21,61
2013-07-28,65
2013-08-04,56
2013-08-11,66
2013-08-18,61
2013-08-25,56
2013-09-01,61
2013-09-08,64
2013-09-15,85
2013-09-22,100
2013-09-29,100
2013-10-06,81
2013-10-13,86
2013-10-20,82
2013-10-27,86
2013-11-03,85
2013-11-10,83
2013-11-17,78
2013-11-24,64
2013-12-01,76
2013-12-08,75
2013-12-15,74
2013-12-22,79
2013-12-29,89
2014-01-05,100
2014-01-12,90
2014-01-19,94
2014-01-26,92
2014-02-02,89
2014-02-09,85
2014-02-16,88
2014-02-23,100
2014-03-02,99
2014-03-09,89
2014-03-16,83
2014-03-23,91
2014-03-30,83
2014-04-06,80
2014-04-13,77
2014-04-20,76
2014-04-27,81
2014-05-04,85
2014-05-11,79
2014-05-18,70
2014-05-25,72
2014-06-01,76
2014-06-08,84
2014-06-15,71
2014-06-22,71
2014-06-29,76
2014-07-06,72
2014-07-13,78
2014-07-20,78
2014-07-27,81
2014-08-03,81
2014-08-10,72
2014-08-17,83
2014-08-24,77
2014-08-31,80
2014-09-07,84
2014-09-14,87
2014-09-21,90
2014-09-28,90
2014-10-05,93
2014-10-12,79
2014-10-19,81
2014-10-26,76
2014-11-02,87
2014-11-09,81
2014-11-16,93
2014-11-23,70
2014-11-30,83
2014-12-07,89
2014-12-14,93
2014-12-21,79
2014-12-28,91
2015-01-04,100
2015-01-11,88
2015-01-18,93
2015-01-25,91
2015-02-01,92
2015-02-08,95
2015-02-15,90
2015-02-22,82
2015-03-01,91
2015-03-08,83
2015-03-15,83
2015-03-22,84
2015-03-29,83
2015-04-05,77
2015-04-12,93
2015-04-19,82
2015-04-26,85
2015-05-03,82
2015-05-10,80
2015-05-17,78
2015-05-24,76
2015-05-31,72
2015-06-07,78
2015-06-14,82
2015-06-21,78
2015-06-28,72
2015-07-05,77
2015-07-12,73
2015-07-19,81
2015-07-26,78
2015-08-02,76
2015-08-09,71
2015-08-16,77
2015-08-23,90
2015-08-30,77
2015-09-06,73
2015-09-13,74
2015-09-20,75
2015-09-27,73
2015-10-04,76
2015-10-11,74
2015-10-18,78
2015-10-25,80
2015-11-01,84
2015-11-08,79
2015-11-15,78
2015-11-22,66
2015-11-29,78
2015-12-06,77
2015-12-13,75
2015-12-20,58
2015-12-27,77
2016-01-03,48
2016-01-10,48
2016-01-17,44
2016-01-24,46
2016-01-31,48
2016-02-07,45
2016-02-14,43
2016-02-21,45
2016-02-28,44
2016-03-06,42
2016-03-13,42
2016-03-20,42
2016-03-27,44
2016-04-03,47
2016-04-10,48
2016-04-17,44
2016-04-24,41
2016-05-01,42
2016-05-08,39
2016-05-15,39
2016-05-22,38
2016-05-29,36
2016-06-05,36
2016-06-12,37
2016-06-19,42
2016-06-26,40
2016-07-03,36
2016-07-10,38
2016-07-17,39
2016-07-24,39
2016-07-31,40
2016-08-07,36
2016-08-14,35
2016-08-21,100
2016-08-28,70
2016-09-04,40
2016-09-11,40
2016-09-18,41
2016-09-25,47
2016-10-02,42
2016-10-09,37
2016-10-16,40
2016-10-23,45
2016-10-30,43
2016-11-06,46
2016-11-13,50
2016-11-20,37
2016-11-27,47
2016-12-04,48
2016-12-11,43
2016-12-18,38
2016-12-25,39
2017-01-01,45
2017-01-08,43
2017-01-15,45
2017-01-22,49
2017-01-29,47
2017-02-05,48
2017-02-12,48
2017-02-19,47
2017-02-26,51
2017-03-05,48
2017-03-12,43
2017-03-19,42
2017-03-26,43
2017-04-02,43
2017-04-09,43
2017-04-16,44
2017-04-23,45
2017-04-30,43
2017-05-07,45
2017-05-14,39
2017-05-21,48
2017-05-28,42
2017-06-04,43
2017-06-11,46
2017-06-18,49
2017-06-25,41
2017-07-02,43
2017-07-09,43
2017-07-16,45
2017-07-23,42
2017-07-30,45
2017-08-06,48
2017-08-13,47
2017-08-20,46
2017-08-27,47
2017-09-03,41
2017-09-10,45
2017-09-17,48
2017-09-24,45
2017-10-01,49
2017-10-08,47
2017-10-15,48
2017-10-22,54
2017-10-29,53
2017-11-05,54
2017-11-12,55
2017-11-19,45
2017-11-26,76
2017-12-03,89
2017-12-10,100
2017-12-17,88
2017-12-24,77
2017-12-31,87
2018-01-07,100
2018-01-14,87
2018-01-21,85
2018-01-28,81
2018-02-04,79
2018-02-11,68
2018-02-18,65
2018-02-25,66
2018-03-04,64
2018-03-11,57
2018-03-18,64
2018-03-25,54
2018-04-01,58
2018-04-08,59
2018-04-15,62
2018-04-22,61
2018-04-29,62
2018-05-06,56
2018-05-13,56
2018-05-20,62
2018-05-27,52
2018-06-03,53
2018-06-10,55
2018-06-17,52
2018-06-24,53
2018-07-01,53
2018-07-08,56
2018-07-15,56
2018-07-22,59
2018-07-29,68
2018-08-05,60
2018-08-12,61
2018-08-19,62
2018-08-26,61
2018-09-02,68
2018-09-09,78
2018-09-16,67
2018-09-23,63
2018-09-30,64
2018-10-07,63
2018-10-14,65
2018-10-21,61
2018-10-28,57
2018-11-04,57
2018-11-11,52
2018-11-18,43
2018-11-25,54
2018-12-02,59
2018-12-09,55
2018-12-16,52
2018-12-23,55
2018-12-30,60
2019-01-06,91
2019-01-13,90
2019-01-20,92
2019-01-27,95
2019-02-03,94
2019-02-10,89
2019-02-17,93
2019-02-24,97
2019-03-03,91
2019-03-10,90
2019-03-17,89
2019-03-24,85
2019-03-31,90
2019-04-07,89
2019-04-14,82
2019-04-21,88
2019-04-28,91
2019-05-05,85
2019-05-12,85
2019-05-19,76
2019-05-26,76
2019-06-02,84
2019-06-09,78
2019-06-16,79
2019-06-23,77
2019-06-30,73
2019-07-07,94
2019-07-14,83
2019-07-21,85
2019-07-28,90
2019-08-04,81
2019-08-11,85
2019-08-18,83
2019-08-25,73
2019-09-01,80
2019-09-08,94
2019-09-15,85
2019-09-22,82
2019-09-29,86
2019-10-06,84
2019-10-13,80
2019-10-20,85
2019-10-27,83
2019-11-03,87
2019-11-10,84
2019-11-17,87
2019-11-24,70
2019-12-01,86
2019-12-08,82
2019-12-15,77
2019-12-22,80
2019-12-29,100
2020-01-05,59
2020-01-12,59
2020-01-19,57
2020-01-26,58
2020-02-02,62
2020-02-09,64
2020-02-16,65
2020-02-23,71
2020-03-01,66
2020-03-08,96
2020-03-15,100
2020-03-22,91
2020-03-29,70
2020-04-05,74
2020-04-12,82
2020-04-19,99
2020-04-26,84
2020-05-03,71
2020-05-10,69
2020-05-17,68
2020-05-24,58
2020-05-31,70
2020-06-07,82
2020-06-14,67
2020-06-21,61
2020-06-28,61
2020-07-05,72
2020-07-12,70
2020-07-19,71
2020-07-26,81
2020-08-02,79
2020-08-09,69
2020-08-16,74
2020-08-23,70
2020-08-30,76
2020-09-06,62
2020-09-13,66
2020-09-20,59
2020-09-27,58
2020-10-04,59
2020-10-11,59
2020-10-18,63
2020-10-25,54
2020-11-01,47
2020-11-08,64
2020-11-15,71
2020-11-22,63
2020-11-29,72
2020-12-06,82
