date,intel
2006-09-24,76
2006-10-01,76
2006-10-08,70
2006-10-15,71
2006-10-22,75
2006-10-29,72
2006-11-05,67
2006-11-12,74
2006-11-19,71
2006-11-26,66
2006-12-03,67
2006-12-10,62
2006-12-17,59
2006-12-24,75
2006-12-31,67
2007-01-07,91
2007-01-14,91
2007-01-21,92
2007-01-28,100
2007-02-04,94
2007-02-11,85
2007-02-18,90
2007-02-25,85
2007-03-04,83
2007-03-11,81
2007-03-18,78
2007-03-25,79
2007-04-01,79
2007-04-08,81
2007-04-15,81
2007-04-22,82
2007-04-29,79
2007-05-06,81
2007-05-13,77
2007-05-20,82
2007-05-27,80
2007-06-03,81
2007-06-10,85
2007-06-17,83
2007-06-24,79
2007-07-01,76
2007-07-08,91
2007-07-15,89
2007-07-22,92
2007-07-29,87
2007-08-05,97
2007-08-12,82
2007-08-19,87
2007-08-26,81
2007-09-02,82
2007-09-09,83
2007-09-16,85
2007-09-23,78
2007-09-30,74
2007-10-07,74
2007-10-14,75
2007-10-21,78
2007-10-28,82
2007-11-04,82
2007-11-11,84
2007-11-18,91
2007-11-25,87
2007-12-02,84
2007-12-09,77
2007-12-16,76
2007-12-23,95
2007-12-30,90
2008-01-06,94
2008-01-13,97
2008-01-20,97
2008-01-27,92
2008-02-03,90
2008-02-10,85
2008-02-17,85
2008-02-24,89
2008-03-02,91
2008-03-09,88
2008-03-16,89
2008-03-23,85
2008-03-30,82
2008-04-06,81
2008-04-13,86
2008-04-20,81
2008-04-27,80
2008-05-04,78
2008-05-11,86
2008-05-18,79
2008-05-25,83
2008-06-01,84
2008-06-08,79
2008-06-15,82
2008-06-22,81
2008-06-29,84
2008-07-06,84
2008-07-13,89
2008-07-20,89
2008-07-27,90
2008-08-03,89
2008-08-10,92
2008-08-17,91
2008-08-24,84
2008-08-31,86
2008-09-07,86
2008-09-14,85
2008-09-21,77
2008-09-28,84
2008-10-05,80
2008-10-12,84
2008-10-19,83
2008-10-26,81
2008-11-02,90
2008-11-09,87
2008-11-16,99
2008-11-23,100
2008-11-30,89
2008-12-07,87
2008-12-14,92
2008-12-21,94
2008-12-28,97
2009-01-04,78
2009-01-11,84
2009-01-18,82
2009-01-25,74
2009-02-01,76
2009-02-08,73
2009-02-15,73
2009-02-22,74
2009-03-01,73
2009-03-08,70
2009-03-15,68
2009-03-22,70
2009-03-29,67
2009-04-05,66
2009-04-12,69
2009-04-19,65
2009-04-26,59
2009-05-03,66
2009-05-10,75
2009-05-17,66
2009-05-24,68
2009-05-31,71
2009-06-07,70
2009-06-14,71
2009-06-21,67
2009-06-28,68
2009-07-05,67
2009-07-12,71
2009-07-19,68
2009-07-26,73
2009-08-02,68
2009-08-09,73
2009-08-16,72
2009-08-23,70
2009-08-30,74
2009-09-06,76
2009-09-13,69
2009-09-20,76
2009-09-27,66
2009-10-04,68
2009-10-11,72
2009-10-18,81
2009-10-25,80
2009-11-01,76
2009-11-08,85
2009-11-15,86
2009-11-22,100
2009-11-29,83
2009-12-06,79
2009-12-13,72
2009-12-20,81
2009-12-27,80
2010-01-03,96
2010-01-10,99
2010-01-17,96
2010-01-24,94
2010-01-31,92
2010-02-07,100
2010-02-14,91
2010-02-21,86
2010-02-28,85
2010-03-07,95
2010-03-14,87
2010-03-21,82
2010-03-28,82
2010-04-04,77
2010-04-11,87
2010-04-18,81
2010-04-25,81
2010-05-02,75
2010-05-09,79
2010-05-16,82
2010-05-23,77
2010-05-30,84
2010-06-06,76
2010-06-13,81
2010-06-20,78
2010-06-27,77
2010-07-04,69
2010-07-11,79
2010-07-18,74
2010-07-25,80
2010-08-01,82
2010-08-08,80
2010-08-15,87
2010-08-22,82
2010-08-29,74
2010-09-05,75
2010-09-12,74
2010-09-19,70
2010-09-26,66
2010-10-03,72
2010-10-10,69
2010-10-17,73
2010-10-24,68
2010-10-31,68
2010-11-07,73
2010-11-14,79
2010-11-21,92
2010-11-28,83
2010-12-05,74
2010-12-12,69
2010-12-19,74
2010-12-26,74
2011-01-02,92
2011-01-09,99
2011-01-16,90
2011-01-23,88
2011-01-30,98
2011-02-06,91
2011-02-13,85
2011-02-20,97
2011-02-27,96
2011-03-06,79
2011-03-13,83
2011-03-20,77
2011-03-27,78
2011-04-03,75
2011-04-10,74
2011-04-17,83
2011-04-24,76
2011-05-01,80
2011-05-08,75
2011-05-15,79
2011-05-22,73
2011-05-29,73
2011-06-05,81
2011-06-12,76
2011-06-19,78
2011-06-26,80
2011-07-03,73
2011-07-10,75
2011-07-17,83
2011-07-24,84
2011-07-31,80
2011-08-07,75
2011-08-14,84
2011-08-21,78
2011-08-28,77
2011-09-04,72
2011-09-11,76
2011-09-18,72
2011-09-25,73
2011-10-02,65
2011-10-09,75
2011-10-16,74
2011-10-23,71
2011-10-30,67
2011-11-06,74
2011-11-13,86
2011-11-20,100
2011-11-27,88
2011-12-04,75
2011-12-11,73
2011-12-18,75
2011-12-25,81
2012-01-01,79
2012-01-08,85
2012-01-15,80
2012-01-22,81
2012-01-29,78
2012-02-05,76
2012-02-12,72
2012-02-19,74
2012-02-26,74
2012-03-04,75
2012-03-11,73
2012-03-18,69
2012-03-25,68
2012-04-01,70
2012-04-08,70
2012-04-15,73
2012-04-22,79
2012-04-29,75
2012-05-06,74
2012-05-13,81
2012-05-20,77
2012-05-27,76
2012-06-03,71
2012-06-10,79
2012-06-17,74
2012-06-24,71
2012-07-01,69
2012-07-08,71
2012-07-15,77
2012-07-22,71
2012-07-29,75
2012-08-05,74
2012-08-12,79
2012-08-19,75
2012-08-26,75
2012-09-02,74
2012-09-09,76
2012-09-16,73
2012-09-23,69
2012-09-30,66
2012-10-07,66
2012-10-14,69
2012-10-21,74
2012-10-28,81
2012-11-04,75
2012-11-11,79
2012-11-18,100
2012-11-25,87
2012-12-02,75
2012-12-09,70
2012-12-16,72
2012-12-23,77
2012-12-30,68
2013-01-06,76
2013-01-13,75
2013-01-20,79
2013-01-27,77
2013-02-03,76
2013-02-10,78
2013-02-17,76
2013-02-24,73
2013-03-03,78
2013-03-10,73
2013-03-17,70
2013-03-24,72
2013-03-31,67
2013-04-07,74
2013-04-14,68
2013-04-21,68
2013-04-28,67
2013-05-05,66
2013-05-12,70
2013-05-19,71
2013-05-26,68
2013-06-02,78
2013-06-09,77
2013-06-16,74
2013-06-23,71
2013-06-30,65
2013-07-07,70
2013-07-14,71
2013-07-21,72
2013-07-28,73
2013-08-04,72
2013-08-11,72
2013-08-18,73
2013-08-25,67
2013-09-01,70
2013-09-08,72
2013-09-15,67
2013-09-22,69
2013-09-29,70
2013-10-06,65
2013-10-13,69
2013-10-20,77
2013-10-27,71
2013-11-03,72
2013-11-10,73
2013-11-17,80
2013-11-24,100
2013-12-01,84
2013-12-08,80
2013-12-15,77
2013-12-22,79
2013-12-29,73
2014-01-05,81
2014-01-12,78
2014-01-19,74
2014-01-26,73
2014-02-02,66
2014-02-09,69
2014-02-16,70
2014-02-23,68
2014-03-02,67
2014-03-09,70
2014-03-16,68
2014-03-23,67
2014-03-30,68
2014-04-06,70
2014-04-13,69
2014-04-20,65
2014-04-27,66
2014-05-04,66
2014-05-11,67
2014-05-18,66
2014-05-25,65
2014-06-01,66
2014-06-08,65
2014-06-15,66
2014-06-22,67
2014-06-29,65
2014-07-06,66
2014-07-13,72
2014-07-20,74
2014-07-27,75
2014-08-03,72
2014-08-10,74
2014-08-17,73
2014-08-24,72
2014-08-31,74
2014-09-07,72
2014-09-14,66
2014-09-21,65
2014-09-28,66
2014-10-05,65
2014-10-12,68
2014-10-19,66
2014-10-26,68
2014-11-02,70
2014-11-09,73
2014-11-16,80
2014-11-23,100
2014-11-30,88
2014-12-07,72
2014-12-14,76
2014-12-21,76
2014-12-28,69
2015-01-04,83
2015-01-11,77
2015-01-18,72
2015-01-25,72
2015-02-01,70
2015-02-08,73
2015-02-15,69
2015-02-22,75
2015-03-01,69
2015-03-08,82
2015-03-15,73
2015-03-22,69
2015-03-29,72
2015-04-05,76
2015-04-12,72
2015-04-19,70
2015-04-26,69
2015-05-03,67
2015-05-10,70
2015-05-17,75
2015-05-24,68
2015-05-31,80
2015-06-07,75
2015-06-14,75
2015-06-21,76
2015-06-28,69
2015-07-05,72
2015-07-12,74
2015-07-19,75
2015-07-26,82
2015-08-02,90
2015-08-09,80
2015-08-16,83
2015-08-23,82
2015-08-30,78
2015-09-06,73
2015-09-13,69
2015-09-20,67
2015-09-27,66
2015-10-04,72
2015-10-11,70
2015-10-18,71
2015-10-25,71
2015-11-01,75
2015-11-08,79
2015-11-15,83
2015-11-22,100
2015-11-29,88
2015-12-06,75
2015-12-13,73
2015-12-20,72
2015-12-27,70
2016-01-03,80
2016-01-10,76
2016-01-17,75
2016-01-24,79
2016-01-31,78
2016-02-07,79
2016-02-14,78
2016-02-21,76
2016-02-28,71
2016-03-06,74
2016-03-13,73
2016-03-20,73
2016-03-27,75
2016-04-03,72
2016-04-10,71
2016-04-17,95
2016-04-24,87
2016-05-01,75
2016-05-08,70
2016-05-15,73
2016-05-22,74
2016-05-29,75
2016-06-05,71
2016-06-12,71
2016-06-19,70
2016-06-26,72
2016-07-03,68
2016-07-10,74
2016-07-17,75
2016-07-24,72
2016-07-31,71
2016-08-07,68
2016-08-14,75
2016-08-21,71
2016-08-28,72
2016-09-04,71
2016-09-11,65
2016-09-18,75
2016-09-25,67
2016-10-02,64
2016-10-09,62
2016-10-16,66
2016-10-23,71
2016-10-30,72
2016-11-06,63
2016-11-13,72
2016-11-20,100
2016-11-27,89
2016-12-04,75
2016-12-11,76
2016-12-18,72
2016-12-25,75
2017-01-01,57
2017-01-08,57
2017-01-15,53
2017-01-22,53
2017-01-29,54
2017-02-05,66
2017-02-12,56
2017-02-19,55
2017-02-26,59
2017-03-05,55
2017-03-12,57
2017-03-19,54
2017-03-26,53
2017-04-02,50
2017-04-09,47
2017-04-16,48
2017-04-23,52
2017-04-30,51
2017-05-07,52
2017-05-14,51
2017-05-21,49
2017-05-28,52
2017-06-04,55
2017-06-11,51
2017-06-18,54
2017-06-25,51
2017-07-02,46
2017-07-09,53
2017-07-16,50
2017-07-23,50
2017-07-30,51
2017-08-06,51
2017-08-13,50
2017-08-20,47
2017-08-27,44
2017-09-03,41
2017-09-10,43
2017-09-17,45
2017-09-24,47
2017-10-01,49
2017-10-08,48
2017-10-15,46
2017-10-22,49
2017-10-29,50
2017-11-05,55
2017-11-12,53
2017-11-19,66
2017-11-26,59
2017-12-03,50
2017-12-10,48
2017-12-17,48
2017-12-24,47
2017-12-31,100
2018-01-07,100
2018-01-14,80
2018-01-21,79
2018-01-28,76
2018-02-04,76
2018-02-11,69
2018-02-18,67
2018-02-25,67
2018-03-04,69
2018-03-11,69
2018-03-18,67
2018-03-25,60
2018-04-01,75
2018-04-08,65
2018-04-15,66
2018-04-22,69
2018-04-29,62
2018-05-06,63
2018-05-13,66
2018-05-20,65
2018-05-27,62
2018-06-03,69
2018-06-10,67
2018-06-17,85
2018-06-24,70
2018-07-01,63
2018-07-08,64
2018-07-15,75
2018-07-22,72
2018-07-29,70
2018-08-05,72
2018-08-12,70
2018-08-19,69
2018-08-26,67
2018-09-02,64
2018-09-09,65
2018-09-16,65
2018-09-23,62
2018-09-30,62
2018-10-07,71
2018-10-14,62
2018-10-21,64
2018-10-28,64
2018-11-04,65
2018-11-11,66
2018-11-18,83
2018-11-25,82
2018-12-02,64
2018-12-09,66
2018-12-16,63
2018-12-23,60
2018-12-30,58
2019-01-06,82
2019-01-13,79
2019-01-20,79
2019-01-27,86
2019-02-03,81
2019-02-10,76
2019-02-17,72
2019-02-24,76
2019-03-03,79
2019-03-10,79
2019-03-17,74
2019-03-24,75
2019-03-31,74
2019-04-07,70
2019-04-14,76
2019-04-21,78
2019-04-28,73
2019-05-05,73
2019-05-12,76
2019-05-19,76
2019-05-26,80
2019-06-02,75
2019-06-09,81
2019-06-16,72
2019-06-23,73
2019-06-30,70
2019-07-07,83
2019-07-14,85
2019-07-21,88
2019-07-28,78
2019-08-04,79
2019-08-11,79
2019-08-18,77
2019-08-25,80
2019-09-01,76
2019-09-08,71
2019-09-15,74
2019-09-22,76
2019-09-29,76
2019-10-06,69
2019-10-13,68
2019-10-20,75
2019-10-27,71
2019-11-03,77
2019-11-10,78
2019-11-17,83
2019-11-24,100
2019-12-01,97
2019-12-08,78
2019-12-15,74
2019-12-22,70
2019-12-29,70
2020-01-05,70
2020-01-12,66
2020-01-19,75
2020-01-26,65
2020-02-02,66
2020-02-09,64
2020-02-16,66
2020-02-23,65
2020-03-01,62
2020-03-08,65
2020-03-15,71
2020-03-22,71
2020-03-29,74
2020-04-05,73
2020-04-12,84
2020-04-19,88
2020-04-26,84
2020-05-03,85
2020-05-10,84
2020-05-17,82
2020-05-24,73
2020-05-31,73
2020-06-07,76
2020-06-14,79
2020-06-21,86
2020-06-28,78
2020-07-05,77
2020-07-12,72
2020-07-19,95
2020-07-26,100
2020-08-02,93
2020-08-09,96
2020-08-16,88
2020-08-23,87
2020-08-30,95
2020-09-06,79
2020-09-13,69
2020-09-20,66
2020-09-27,67
2020-10-04,72
2020-10-11,73
2020-10-18,77
2020-10-25,67
2020-11-01,58
2020-11-08,82
2020-11-15,86
2020-11-22,95
2020-11-29,86
2020-12-06,79
