date,health
2008-04-20,94
2008-04-27,89
2008-05-04,88
2008-05-11,88
2008-05-18,91
2008-05-25,86
2008-06-01,88
2008-06-08,87
2008-06-15,90
2008-06-22,90
2008-06-29,80
2008-07-06,90
2008-07-13,88
2008-07-20,88
2008-07-27,88
2008-08-03,88
2008-08-10,86
2008-08-17,85
2008-08-24,87
2008-08-31,84
2008-09-07,89
2008-09-14,94
2008-09-21,92
2008-09-28,89
2008-10-05,94
2008-10-12,92
2008-10-19,93
2008-10-26,94
2008-11-02,91
2008-11-09,93
2008-11-16,90
2008-11-23,70
2008-11-30,92
2008-12-07,82
2008-12-14,77
2008-12-21,57
2008-12-28,76
2009-01-04,79
2009-01-11,76
2009-01-18,74
2009-01-25,76
2009-02-01,78
2009-02-08,76
2009-02-15,74
2009-02-22,75
2009-03-01,76
2009-03-08,74
2009-03-15,74
2009-03-22,74
2009-03-29,75
2009-04-05,73
2009-04-12,73
2009-04-19,74
2009-04-26,84
2009-05-03,75
2009-05-10,75
2009-05-17,72
2009-05-24,69
2009-05-31,73
2009-06-07,73
2009-06-14,74
2009-06-21,73
2009-06-28,67
2009-07-05,74
2009-07-12,77
2009-07-19,83
2009-07-26,82
2009-08-02,86
2009-08-09,95
2009-08-16,86
2009-08-23,80
2009-08-30,81
2009-09-06,89
2009-09-13,86
2009-09-20,84
2009-09-27,81
2009-10-04,85
2009-10-11,84
2009-10-18,92
2009-10-25,94
2009-11-01,95
2009-11-08,100
2009-11-15,88
2009-11-22,66
2009-11-29,78
2009-12-06,73
2009-12-13,70
2009-12-20,66
2009-12-27,62
2010-01-03,46
2010-01-10,49
2010-01-17,48
2010-01-24,46
2010-01-31,44
2010-02-07,43
2010-02-14,43
2010-02-21,47
2010-02-28,47
2010-03-07,47
2010-03-14,53
2010-03-21,100
2010-03-28,51
2010-04-04,48
2010-04-11,47
2010-04-18,46
2010-04-25,46
2010-05-02,43
2010-05-09,43
2010-05-16,42
2010-05-23,41
2010-05-30,40
2010-06-06,42
2010-06-13,40
2010-06-20,41
2010-06-27,39
2010-07-04,36
2010-07-11,38
2010-07-18,39
2010-07-25,39
2010-08-01,40
2010-08-08,39
2010-08-15,39
2010-08-22,39
2010-08-29,38
2010-09-05,37
2010-09-12,41
2010-09-19,42
2010-09-26,42
2010-10-03,41
2010-10-10,41
2010-10-17,42
2010-10-24,41
2010-10-31,40
2010-11-07,41
2010-11-14,41
2010-11-21,29
2010-11-28,39
2010-12-05,37
2010-12-12,34
2010-12-19,28
2010-12-26,31
2011-01-02,100
2011-01-09,94
2011-01-16,98
2011-01-23,98
2011-01-30,97
2011-02-06,96
2011-02-13,94
2011-02-20,91
2011-02-27,96
2011-03-06,94
2011-03-13,88
2011-03-20,92
2011-03-27,94
2011-04-03,96
2011-04-10,96
2011-04-17,91
2011-04-24,90
2011-05-01,88
2011-05-08,95
2011-05-15,89
2011-05-22,88
2011-05-29,84
2011-06-05,94
2011-06-12,89
2011-06-19,89
2011-06-26,87
2011-07-03,80
2011-07-10,88
2011-07-17,90
2011-07-24,88
2011-07-31,87
2011-08-07,89
2011-08-14,90
2011-08-21,89
2011-08-28,89
2011-09-04,85
2011-09-11,96
2011-09-18,93
2011-09-25,95
2011-10-02,96
2011-10-09,92
2011-10-16,90
2011-10-23,96
2011-10-30,93
2011-11-06,89
2011-11-13,93
2011-11-20,69
2011-11-27,91
2011-12-04,87
2011-12-11,81
2011-12-18,67
2011-12-25,67
2012-01-01,81
2012-01-08,85
2012-01-15,79
2012-01-22,82
2012-01-29,84
2012-02-05,81
2012-02-12,78
2012-02-19,78
2012-02-26,81
2012-03-04,81
2012-03-11,77
2012-03-18,80
2012-03-25,84
2012-04-01,78
2012-04-08,77
2012-04-15,79
2012-04-22,81
2012-04-29,79
2012-05-06,79
2012-05-13,77
2012-05-20,75
2012-05-27,71
2012-06-03,76
2012-06-10,75
2012-06-17,76
2012-06-24,100
2012-07-01,73
2012-07-08,79
2012-07-15,78
2012-07-22,78
2012-07-29,77
2012-08-05,75
2012-08-12,81
2012-08-19,81
2012-08-26,79
2012-09-02,77
2012-09-09,82
2012-09-16,80
2012-09-23,81
2012-09-30,81
2012-10-07,78
2012-10-14,80
2012-10-21,78
2012-10-28,73
2012-11-04,77
2012-11-11,79
2012-11-18,59
2012-11-25,78
2012-12-02,77
2012-12-09,70
2012-12-16,65
2012-12-23,49
2012-12-30,69
2013-01-06,73
2013-01-13,71
2013-01-20,69
2013-01-27,70
2013-02-03,68
2013-02-10,67
2013-02-17,68
2013-02-24,69
2013-03-03,69
2013-03-10,68
2013-03-17,68
2013-03-24,67
2013-03-31,68
2013-04-07,71
2013-04-14,68
2013-04-21,70
2013-04-28,68
2013-05-05,66
2013-05-12,66
2013-05-19,66
2013-05-26,62
2013-06-02,67
2013-06-09,66
2013-06-16,65
2013-06-23,66
2013-06-30,58
2013-07-07,67
2013-07-14,66
2013-07-21,67
2013-07-28,69
2013-08-04,68
2013-08-11,69
2013-08-18,71
2013-08-25,69
2013-09-01,68
2013-09-08,72
2013-09-15,75
2013-09-22,84
2013-09-29,100
2013-10-06,82
2013-10-13,76
2013-10-20,80
2013-10-27,79
2013-11-03,79
2013-11-10,78
2013-11-17,76
2013-11-24,54
2013-12-01,72
2013-12-08,69
2013-12-15,65
2013-12-22,55
2013-12-29,62
2014-01-05,93
2014-01-12,99
2014-01-19,91
2014-01-26,92
2014-02-02,90
2014-02-09,88
2014-02-16,88
2014-02-23,91
2014-03-02,92
2014-03-09,92
2014-03-16,91
2014-03-23,98
2014-03-30,100
2014-04-06,89
2014-04-13,86
2014-04-20,87
2014-04-27,86
2014-05-04,87
2014-05-11,86
2014-05-18,82
2014-05-25,78
2014-06-01,84
2014-06-08,84
2014-06-15,82
2014-06-22,82
2014-06-29,75
2014-07-06,84
2014-07-13,85
2014-07-20,87
2014-07-27,85
2014-08-03,86
2014-08-10,85
2014-08-17,89
2014-08-24,88
2014-08-31,84
2014-09-07,90
2014-09-14,91
2014-09-21,94
2014-09-28,95
2014-10-05,92
2014-10-12,92
2014-10-19,91
2014-10-26,91
2014-11-02,93
2014-11-09,95
2014-11-16,95
2014-11-23,67
2014-11-30,91
2014-12-07,91
2014-12-14,84
2014-12-21,59
2014-12-28,73
2015-01-04,96
2015-01-11,96
2015-01-18,95
2015-01-25,95
2015-02-01,95
2015-02-08,96
2015-02-15,89
2015-02-22,89
2015-03-01,91
2015-03-08,86
2015-03-15,87
2015-03-22,88
2015-03-29,88
2015-04-05,91
2015-04-12,91
2015-04-19,89
2015-04-26,87
2015-05-03,87
2015-05-10,86
2015-05-17,85
2015-05-24,80
2015-05-31,88
2015-06-07,86
2015-06-14,83
2015-06-21,87
2015-06-28,83
2015-07-05,89
2015-07-12,88
2015-07-19,89
2015-07-26,89
2015-08-02,88
2015-08-09,92
2015-08-16,90
2015-08-23,94
2015-08-30,94
2015-09-06,85
2015-09-13,95
2015-09-20,95
2015-09-27,94
2015-10-04,95
2015-10-11,94
2015-10-18,93
2015-10-25,95
2015-11-01,100
2015-11-08,96
2015-11-15,97
2015-11-22,68
2015-11-29,95
2015-12-06,91
2015-12-13,89
2015-12-20,62
2015-12-27,71
2016-01-03,96
2016-01-10,90
2016-01-17,91
2016-01-24,100
2016-01-31,100
2016-02-07,91
2016-02-14,93
2016-02-21,96
2016-02-28,93
2016-03-06,91
2016-03-13,88
2016-03-20,87
2016-03-27,92
2016-04-03,93
2016-04-10,93
2016-04-17,92
2016-04-24,89
2016-05-01,89
2016-05-08,87
2016-05-15,86
2016-05-22,83
2016-05-29,78
2016-06-05,84
2016-06-12,83
2016-06-19,83
2016-06-26,83
2016-07-03,74
2016-07-10,84
2016-07-17,84
2016-07-24,84
2016-07-31,85
2016-08-07,84
2016-08-14,86
2016-08-21,90
2016-08-28,91
2016-09-04,86
2016-09-11,99
2016-09-18,89
2016-09-25,89
2016-10-02,88
2016-10-09,88
2016-10-16,92
2016-10-23,94
2016-10-30,97
2016-11-06,88
2016-11-13,94
2016-11-20,67
2016-11-27,92
2016-12-04,90
2016-12-11,87
2016-12-18,72
2016-12-25,70
2017-01-01,84
2017-01-08,93
2017-01-15,88
2017-01-22,94
2017-01-29,93
2017-02-05,88
2017-02-12,86
2017-02-19,85
2017-02-26,88
2017-03-05,93
2017-03-12,85
2017-03-19,100
2017-03-26,87
2017-04-02,88
2017-04-09,84
2017-04-16,86
2017-04-23,84
2017-04-30,97
2017-05-07,85
2017-05-14,78
2017-05-21,78
2017-05-28,77
2017-06-04,82
2017-06-11,82
2017-06-18,86
2017-06-25,87
2017-07-02,76
2017-07-09,88
2017-07-16,86
2017-07-23,94
2017-07-30,89
2017-08-06,87
2017-08-13,85
2017-08-20,80
2017-08-27,85
2017-09-03,76
2017-09-10,84
2017-09-17,88
2017-09-24,90
2017-10-01,89
2017-10-08,90
2017-10-15,88
2017-10-22,89
2017-10-29,92
2017-11-05,91
2017-11-12,91
2017-11-19,68
2017-11-26,88
2017-12-03,91
2017-12-10,87
2017-12-17,75
2017-12-24,63
2017-12-31,82
2018-01-07,94
2018-01-14,95
2018-01-21,100
2018-01-28,100
2018-02-04,96
2018-02-11,95
2018-02-18,92
2018-02-25,94
2018-03-04,92
2018-03-11,87
2018-03-18,90
2018-03-25,88
2018-04-01,92
2018-04-08,94
2018-04-15,91
2018-04-22,90
2018-04-29,91
2018-05-06,90
2018-05-13,86
2018-05-20,85
2018-05-27,82
2018-06-03,90
2018-06-10,88
2018-06-17,90
2018-06-24,89
2018-07-01,78
2018-07-08,90
2018-07-15,90
2018-07-22,91
2018-07-29,91
2018-08-05,91
2018-08-12,93
2018-08-19,92
2018-08-26,94
2018-09-02,89
2018-09-09,92
2018-09-16,94
2018-09-23,94
2018-09-30,95
2018-10-07,96
2018-10-14,94
2018-10-21,91
2018-10-28,96
2018-11-04,97
2018-11-11,94
2018-11-18,69
2018-11-25,93
2018-12-02,92
2018-12-09,92
2018-12-16,82
2018-12-23,63
2018-12-30,83
2019-01-06,99
2019-01-13,96
2019-01-20,94
2019-01-27,95
2019-02-03,95
2019-02-10,92
2019-02-17,93
2019-02-24,93
2019-03-03,96
2019-03-10,91
2019-03-17,93
2019-03-24,94
2019-03-31,95
2019-04-07,93
2019-04-14,89
2019-04-21,91
2019-04-28,95
2019-05-05,90
2019-05-12,92
2019-05-19,88
2019-05-26,84
2019-06-02,89
2019-06-09,88
2019-06-16,90
2019-06-23,91
2019-06-30,77
2019-07-07,91
2019-07-14,93
2019-07-21,91
2019-07-28,91
2019-08-04,89
2019-08-11,95
2019-08-18,95
2019-08-25,95
2019-09-01,85
2019-09-08,96
2019-09-15,96
2019-09-22,94
2019-09-29,100
2019-10-06,98
2019-10-13,94
2019-10-20,98
2019-10-27,94
2019-11-03,100
2019-11-10,95
2019-11-17,97
2019-11-24,70
2019-12-01,93
2019-12-08,89
2019-12-15,85
2019-12-22,63
2019-12-29,80
2020-01-05,68
2020-01-12,68
2020-01-19,68
2020-01-26,71
2020-02-02,70
2020-02-09,67
2020-02-16,69
2020-02-23,71
2020-03-01,73
2020-03-08,88
2020-03-15,100
2020-03-22,88
2020-03-29,85
2020-04-05,79
2020-04-12,71
2020-04-19,70
2020-04-26,69
2020-05-03,67
2020-05-10,68
2020-05-17,67
2020-05-24,62
2020-05-31,64
2020-06-07,66
2020-06-14,70
2020-06-21,71
2020-06-28,71
2020-07-05,76
2020-07-12,74
2020-07-19,72
2020-07-26,73
2020-08-02,72
2020-08-09,72
2020-08-16,69
2020-08-23,71
2020-08-30,70
2020-09-06,66
2020-09-13,71
2020-09-20,71
2020-09-27,74
2020-10-04,77
2020-10-11,73
2020-10-18,74
2020-10-25,73
2020-11-01,61
2020-11-08,76
2020-11-15,80
2020-11-22,60
2020-11-29,74
2020-12-06,77
