date,present
2012-01-01,43
2012-01-08,51
2012-01-15,54
2012-01-22,56
2012-01-29,60
2012-02-05,62
2012-02-12,61
2012-02-19,55
2012-02-26,62
2012-03-04,57
2012-03-11,57
2012-03-18,59
2012-03-25,57
2012-04-01,56
2012-04-08,54
2012-04-15,61
2012-04-22,63
2012-04-29,62
2012-05-06,62
2012-05-13,54
2012-05-20,55
2012-05-27,49
2012-06-03,50
2012-06-10,48
2012-06-17,42
2012-06-24,43
2012-07-01,38
2012-07-08,44
2012-07-15,38
2012-07-22,43
2012-07-29,42
2012-08-05,40
2012-08-12,41
2012-08-19,46
2012-08-26,52
2012-09-02,61
2012-09-09,67
2012-09-16,68
2012-09-23,71
2012-09-30,70
2012-10-07,64
2012-10-14,64
2012-10-21,68
2012-10-28,62
2012-11-04,68
2012-11-11,71
2012-11-18,61
2012-11-25,82
2012-12-02,94
2012-12-09,100
2012-12-16,98
2012-12-23,63
2012-12-30,40
2013-01-06,47
2013-01-13,54
2013-01-20,54
2013-01-27,58
2013-02-03,60
2013-02-10,61
2013-02-17,53
2013-02-24,61
2013-03-03,60
2013-03-10,53
2013-03-17,55
2013-03-24,51
2013-03-31,51
2013-04-07,59
2013-04-14,55
2013-04-21,61
2013-04-28,61
2013-05-05,60
2013-05-12,55
2013-05-19,52
2013-05-26,48
2013-06-02,50
2013-06-09,44
2013-06-16,40
2013-06-23,37
2013-06-30,35
2013-07-07,40
2013-07-14,38
2013-07-21,42
2013-07-28,40
2013-08-04,37
2013-08-11,39
2013-08-18,39
2013-08-25,46
2013-09-01,53
2013-09-08,63
2013-09-15,62
2013-09-22,64
2013-09-29,64
2013-10-06,65
2013-10-13,63
2013-10-20,63
2013-10-27,66
2013-11-03,70
2013-11-10,71
2013-11-17,76
2013-11-24,64
2013-12-01,85
2013-12-08,100
2013-12-15,99
2013-12-22,75
2013-12-29,35
2014-01-05,45
2014-01-12,53
2014-01-19,53
2014-01-26,58
2014-02-02,57
2014-02-09,62
2014-02-16,59
2014-02-23,58
2014-03-02,59
2014-03-09,59
2014-03-16,58
2014-03-23,54
2014-03-30,59
2014-04-06,58
2014-04-13,56
2014-04-20,62
2014-04-27,62
2014-05-04,62
2014-05-11,57
2014-05-18,52
2014-05-25,52
2014-06-01,52
2014-06-08,49
2014-06-15,43
2014-06-22,40
2014-06-29,37
2014-07-06,38
2014-07-13,42
2014-07-20,45
2014-07-27,37
2014-08-03,39
2014-08-10,39
2014-08-17,43
2014-08-24,48
2014-08-31,51
2014-09-07,62
2014-09-14,64
2014-09-21,63
2014-09-28,66
2014-10-05,64
2014-10-12,60
2014-10-19,66
2014-10-26,65
2014-11-02,68
2014-11-09,73
2014-11-16,76
2014-11-23,61
2014-11-30,85
2014-12-07,99
2014-12-14,100
2014-12-21,78
2014-12-28,39
2015-01-04,49
2015-01-11,53
2015-01-18,55
2015-01-25,60
2015-02-01,60
2015-02-08,64
2015-02-15,55
2015-02-22,59
2015-03-01,60
2015-03-08,59
2015-03-15,56
2015-03-22,55
2015-03-29,57
2015-04-05,55
2015-04-12,64
2015-04-19,64
2015-04-26,62
2015-05-03,64
2015-05-10,57
2015-05-17,55
2015-05-24,50
2015-05-31,50
2015-06-07,48
2015-06-14,45
2015-06-21,41
2015-06-28,35
2015-07-05,36
2015-07-12,36
2015-07-19,37
2015-07-26,36
2015-08-02,38
2015-08-09,40
2015-08-16,39
2015-08-23,47
2015-08-30,56
2015-09-06,57
2015-09-13,63
2015-09-20,65
2015-09-27,65
2015-10-04,64
2015-10-11,61
2015-10-18,67
2015-10-25,66
2015-11-01,70
2015-11-08,71
2015-11-15,74
2015-11-22,61
2015-11-29,85
2015-12-06,97
2015-12-13,100
2015-12-20,87
2015-12-27,39
2016-01-03,51
2016-01-10,54
2016-01-17,54
2016-01-24,66
2016-01-31,66
2016-02-07,67
2016-02-14,64
2016-02-21,69
2016-02-28,66
2016-03-06,62
2016-03-13,57
2016-03-20,57
2016-03-27,59
2016-04-03,63
2016-04-10,66
2016-04-17,64
2016-04-24,72
2016-05-01,70
2016-05-08,61
2016-05-15,55
2016-05-22,54
2016-05-29,51
2016-06-05,49
2016-06-12,48
2016-06-19,42
2016-06-26,39
2016-07-03,37
2016-07-10,37
2016-07-17,39
2016-07-24,38
2016-07-31,36
2016-08-07,38
2016-08-14,42
2016-08-21,43
2016-08-28,55
2016-09-04,57
2016-09-11,64
2016-09-18,63
2016-09-25,63
2016-10-02,63
2016-10-09,63
2016-10-16,62
2016-10-23,67
2016-10-30,67
2016-11-06,61
2016-11-13,74
2016-11-20,57
2016-11-27,87
2016-12-04,99
2016-12-11,100
2016-12-18,96
2016-12-25,52
2017-01-01,45
2017-01-08,58
2017-01-15,61
2017-01-22,68
2017-01-29,71
2017-02-05,69
2017-02-12,69
2017-02-19,62
2017-02-26,71
2017-03-05,65
2017-03-12,58
2017-03-19,60
2017-03-26,62
2017-04-02,63
2017-04-09,59
2017-04-16,65
2017-04-23,72
2017-04-30,69
2017-05-07,67
2017-05-14,56
2017-05-21,57
2017-05-28,48
2017-06-04,47
2017-06-11,46
2017-06-18,43
2017-06-25,40
2017-07-02,37
2017-07-09,38
2017-07-16,38
2017-07-23,40
2017-07-30,39
2017-08-06,39
2017-08-13,38
2017-08-20,41
2017-08-27,53
2017-09-03,54
2017-09-10,63
2017-09-17,67
2017-09-24,64
2017-10-01,65
2017-10-08,64
2017-10-15,63
2017-10-22,67
2017-10-29,69
2017-11-05,73
2017-11-12,76
2017-11-19,60
2017-11-26,86
2017-12-03,100
2017-12-10,100
2017-12-17,93
2017-12-24,55
2017-12-31,36
2018-01-07,51
2018-01-14,54
2018-01-21,61
2018-01-28,67
2018-02-04,64
2018-02-11,67
2018-02-18,63
2018-02-25,75
2018-03-04,67
2018-03-11,56
2018-03-18,61
2018-03-25,60
2018-04-01,60
2018-04-08,66
2018-04-15,66
2018-04-22,70
2018-04-29,69
2018-05-06,67
2018-05-13,62
2018-05-20,58
2018-05-27,49
2018-06-03,49
2018-06-10,47
2018-06-17,43
2018-06-24,37
2018-07-01,36
2018-07-08,41
2018-07-15,43
2018-07-22,41
2018-07-29,40
2018-08-05,42
2018-08-12,40
2018-08-19,47
2018-08-26,54
2018-09-02,63
2018-09-09,68
2018-09-16,72
2018-09-23,70
2018-09-30,73
2018-10-07,68
2018-10-14,67
2018-10-21,70
2018-10-28,71
2018-11-04,72
2018-11-11,76
2018-11-18,61
2018-11-25,85
2018-12-02,94
2018-12-09,100
2018-12-16,98
2018-12-23,64
2018-12-30,41
2019-01-06,45
2019-01-13,50
2019-01-20,51
2019-01-27,56
2019-02-03,57
2019-02-10,56
2019-02-17,53
2019-02-24,54
2019-03-03,55
2019-03-10,49
2019-03-17,51
2019-03-24,54
2019-03-31,53
2019-04-07,52
2019-04-14,49
2019-04-21,53
2019-04-28,56
2019-05-05,56
2019-05-12,52
2019-05-19,47
2019-05-26,40
2019-06-02,42
2019-06-09,40
2019-06-16,36
2019-06-23,34
2019-06-30,31
2019-07-07,34
2019-07-14,35
2019-07-21,33
2019-07-28,33
2019-08-04,31
2019-08-11,35
2019-08-18,37
2019-08-25,42
2019-09-01,45
2019-09-08,55
2019-09-15,55
2019-09-22,55
2019-09-29,56
2019-10-06,55
2019-10-13,53
2019-10-20,55
2019-10-27,54
2019-11-03,58
2019-11-10,60
2019-11-17,64
2019-11-24,51
2019-12-01,74
2019-12-08,83
2019-12-15,100
2019-12-22,70
2019-12-29,34
2020-01-05,53
2020-01-12,60
2020-01-19,60
2020-01-26,63
2020-02-02,62
2020-02-09,67
2020-02-16,63
2020-02-23,66
2020-03-01,65
2020-03-08,58
2020-03-15,56
2020-03-22,66
2020-03-29,73
2020-04-05,69
2020-04-12,71
2020-04-19,75
2020-04-26,82
2020-05-03,79
2020-05-10,66
2020-05-17,61
2020-05-24,53
2020-05-31,51
2020-06-07,52
2020-06-14,50
2020-06-21,45
2020-06-28,43
2020-07-05,46
2020-07-12,46
2020-07-19,46
2020-07-26,45
2020-08-02,47
2020-08-09,45
2020-08-16,52
2020-08-23,63
2020-08-30,72
2020-09-06,73
2020-09-13,85
2020-09-20,85
2020-09-27,86
2020-10-04,83
2020-10-11,73
2020-10-18,69
2020-10-25,74
2020-11-01,66
2020-11-08,76
2020-11-15,83
2020-11-22,65
2020-11-29,91
2020-12-06,100
