date,money
2013-12-01,88
2013-12-08,90
2013-12-15,92
2013-12-22,95
2013-12-29,100
2014-01-05,92
2014-01-12,91
2014-01-19,93
2014-01-26,95
2014-02-02,92
2014-02-09,88
2014-02-16,89
2014-02-23,88
2014-03-02,89
2014-03-09,87
2014-03-16,87
2014-03-23,88
2014-03-30,87
2014-04-06,92
2014-04-13,89
2014-04-20,88
2014-04-27,89
2014-05-04,90
2014-05-11,90
2014-05-18,89
2014-05-25,87
2014-06-01,88
2014-06-08,85
2014-06-15,90
2014-06-22,90
2014-06-29,100
2014-07-06,92
2014-07-13,90
2014-07-20,93
2014-07-27,90
2014-08-03,88
2014-08-10,85
2014-08-17,88
2014-08-24,87
2014-08-31,84
2014-09-07,87
2014-09-14,84
2014-09-21,84
2014-09-28,86
2014-10-05,82
2014-10-12,84
2014-10-19,85
2014-10-26,83
2014-11-02,85
2014-11-09,83
2014-11-16,90
2014-11-23,80
2014-11-30,90
2014-12-07,89
2014-12-14,89
2014-12-21,86
2014-12-28,95
2015-01-04,89
2015-01-11,84
2015-01-18,86
2015-01-25,88
2015-02-01,88
2015-02-08,84
2015-02-15,82
2015-02-22,83
2015-03-01,85
2015-03-08,85
2015-03-15,83
2015-03-22,85
2015-03-29,87
2015-04-05,86
2015-04-12,90
2015-04-19,88
2015-04-26,88
2015-05-03,93
2015-05-10,86
2015-05-17,85
2015-05-24,85
2015-05-31,88
2015-06-07,86
2015-06-14,90
2015-06-21,88
2015-06-28,100
2015-07-05,94
2015-07-12,91
2015-07-19,91
2015-07-26,89
2015-08-02,85
2015-08-09,85
2015-08-16,86
2015-08-23,90
2015-08-30,89
2015-09-06,86
2015-09-13,87
2015-09-20,84
2015-09-27,84
2015-10-04,83
2015-10-11,80
2015-10-18,82
2015-10-25,80
2015-11-01,83
2015-11-08,81
2015-11-15,80
2015-11-22,76
2015-11-29,84
2015-12-06,82
2015-12-13,86
2015-12-20,85
2015-12-27,91
2016-01-03,96
2016-01-10,100
2016-01-17,92
2016-01-24,94
2016-01-31,95
2016-02-07,93
2016-02-14,90
2016-02-21,90
2016-02-28,87
2016-03-06,86
2016-03-13,85
2016-03-20,84
2016-03-27,87
2016-04-03,90
2016-04-10,91
2016-04-17,92
2016-04-24,90
2016-05-01,90
2016-05-08,95
2016-05-15,100
2016-05-22,93
2016-05-29,93
2016-06-05,89
2016-06-12,85
2016-06-19,96
2016-06-26,90
2016-07-03,88
2016-07-10,86
2016-07-17,86
2016-07-24,85
2016-07-31,86
2016-08-07,79
2016-08-14,80
2016-08-21,81
2016-08-28,83
2016-09-04,86
2016-09-11,84
2016-09-18,82
2016-09-25,82
2016-10-02,80
2016-10-09,79
2016-10-16,82
2016-10-23,81
2016-10-30,81
2016-11-06,82
2016-11-13,85
2016-11-20,78
2016-11-27,88
2016-12-04,86
2016-12-11,87
2016-12-18,84
2016-12-25,84
2017-01-01,81
2017-01-08,79
2017-01-15,83
2017-01-22,84
2017-01-29,84
2017-02-05,81
2017-02-12,79
2017-02-19,80
2017-02-26,81
2017-03-05,78
2017-03-12,75
2017-03-19,79
2017-03-26,79
2017-04-02,76
2017-04-09,77
2017-04-16,78
2017-04-23,81
2017-04-30,80
2017-05-07,79
2017-05-14,77
2017-05-21,78
2017-05-28,80
2017-06-04,78
2017-06-11,80
2017-06-18,85
2017-06-25,80
2017-07-02,80
2017-07-09,80
2017-07-16,80
2017-07-23,82
2017-07-30,82
2017-08-06,78
2017-08-13,78
2017-08-20,76
2017-08-27,88
2017-09-03,75
2017-09-10,77
2017-09-17,80
2017-09-24,79
2017-10-01,76
2017-10-08,75
2017-10-15,77
2017-10-22,75
2017-10-29,77
2017-11-05,78
2017-11-12,78
2017-11-19,74
2017-11-26,81
2017-12-03,83
2017-12-10,84
2017-12-17,85
2017-12-24,100
2017-12-31,99
2018-01-07,100
2018-01-14,96
2018-01-21,92
2018-01-28,95
2018-02-04,93
2018-02-11,90
2018-02-18,94
2018-02-25,90
2018-03-04,88
2018-03-11,84
2018-03-18,86
2018-03-25,89
2018-04-01,87
2018-04-08,90
2018-04-15,90
2018-04-22,87
2018-04-29,90
2018-05-06,87
2018-05-13,85
2018-05-20,85
2018-05-27,85
2018-06-03,86
2018-06-10,87
2018-06-17,90
2018-06-24,82
2018-07-01,85
2018-07-08,85
2018-07-15,89
2018-07-22,86
2018-07-29,89
2018-08-05,84
2018-08-12,86
2018-08-19,82
2018-08-26,84
2018-09-02,86
2018-09-09,81
2018-09-16,82
2018-09-23,81
2018-09-30,83
2018-10-07,85
2018-10-14,85
2018-10-21,89
2018-10-28,86
2018-11-04,85
2018-11-11,86
2018-11-18,78
2018-11-25,88
2018-12-02,88
2018-12-09,92
2018-12-16,95
2018-12-23,89
2018-12-30,94
2019-01-06,84
2019-01-13,82
2019-01-20,80
2019-01-27,82
2019-02-03,82
2019-02-10,80
2019-02-17,82
2019-02-24,83
2019-03-03,81
2019-03-10,78
2019-03-17,77
2019-03-24,77
2019-03-31,80
2019-04-07,79
2019-04-14,81
2019-04-21,76
2019-04-28,81
2019-05-05,80
2019-05-12,80
2019-05-19,87
2019-05-26,76
2019-06-02,76
2019-06-09,76
2019-06-16,78
2019-06-23,77
2019-06-30,77
2019-07-07,81
2019-07-14,80
2019-07-21,83
2019-07-28,84
2019-08-04,80
2019-08-11,81
2019-08-18,78
2019-08-25,78
2019-09-01,79
2019-09-08,100
2019-09-15,82
2019-09-22,76
2019-09-29,78
2019-10-06,75
2019-10-13,75
2019-10-20,77
2019-10-27,75
2019-11-03,78
2019-11-10,77
2019-11-17,77
2019-11-24,71
2019-12-01,80
2019-12-08,78
2019-12-15,77
2019-12-22,77
2019-12-29,84
2020-01-05,67
2020-01-12,65
2020-01-19,65
2020-01-26,64
2020-02-02,66
2020-02-09,63
2020-02-16,65
2020-02-23,68
2020-03-01,64
2020-03-08,61
2020-03-15,76
2020-03-22,81
2020-03-29,79
2020-04-05,83
2020-04-12,100
2020-04-19,90
2020-04-26,86
2020-05-03,78
2020-05-10,78
2020-05-17,73
2020-05-24,66
2020-05-31,64
2020-06-07,65
2020-06-14,63
2020-06-21,64
2020-06-28,64
2020-07-05,66
2020-07-12,67
2020-07-19,66
2020-07-26,65
2020-08-02,64
2020-08-09,63
2020-08-16,62
2020-08-23,63
2020-08-30,64
2020-09-06,59
2020-09-13,61
2020-09-20,61
2020-09-27,63
2020-10-04,60
2020-10-11,62
2020-10-18,61
2020-10-25,59
2020-11-01,50
2020-11-08,58
2020-11-15,61
2020-11-22,57
2020-11-29,64
2020-12-06,64
