date,war
2015-11-01,76
2015-11-08,86
2015-11-15,93
2015-11-22,89
2015-11-29,87
2015-12-06,90
2015-12-13,87
2015-12-20,67
2015-12-27,66
2016-01-03,43
2016-01-10,43
2016-01-17,44
2016-01-24,45
2016-01-31,48
2016-02-07,49
2016-02-14,47
2016-02-21,49
2016-02-28,47
2016-03-06,61
2016-03-13,53
2016-03-20,48
2016-03-27,49
2016-04-03,53
2016-04-10,62
2016-04-17,64
2016-04-24,69
2016-05-01,100
2016-05-08,95
2016-05-15,69
2016-05-22,59
2016-05-29,51
2016-06-05,41
2016-06-12,40
2016-06-19,33
2016-06-26,33
2016-07-03,35
2016-07-10,31
2016-07-17,31
2016-07-24,40
2016-07-31,36
2016-08-07,29
2016-08-14,35
2016-08-21,41
2016-08-28,41
2016-09-04,43
2016-09-11,41
2016-09-18,42
2016-09-25,44
2016-10-02,46
2016-10-09,51
2016-10-16,48
2016-10-23,44
2016-10-30,42
2016-11-06,45
2016-11-13,45
2016-11-20,40
2016-11-27,48
2016-12-04,49
2016-12-11,48
2016-12-18,38
2016-12-25,37
2017-01-01,65
2017-01-08,72
2017-01-15,69
2017-01-22,74
2017-01-29,76
2017-02-05,72
2017-02-12,74
2017-02-19,71
2017-02-26,76
2017-03-05,76
2017-03-12,70
2017-03-19,75
2017-03-26,75
2017-04-02,92
2017-04-09,99
2017-04-16,90
2017-04-23,99
2017-04-30,99
2017-05-07,86
2017-05-14,80
2017-05-21,77
2017-05-28,73
2017-06-04,66
2017-06-11,58
2017-06-18,52
2017-06-25,51
2017-07-02,61
2017-07-09,64
2017-07-16,71
2017-07-23,70
2017-07-30,59
2017-08-06,68
2017-08-13,70
2017-08-20,58
2017-08-27,55
2017-09-03,58
2017-09-10,57
2017-09-17,69
2017-09-24,79
2017-10-01,68
2017-10-08,76
2017-10-15,74
2017-10-22,70
2017-10-29,73
2017-11-05,78
2017-11-12,76
2017-11-19,65
2017-11-26,100
2017-12-03,83
2017-12-10,77
2017-12-17,63
2017-12-24,55
2017-12-31,59
2018-01-07,22
2018-01-14,22
2018-01-21,24
2018-01-28,24
2018-02-04,25
2018-02-11,25
2018-02-18,25
2018-02-25,28
2018-03-04,27
2018-03-11,30
2018-03-18,32
2018-03-25,27
2018-04-01,28
2018-04-08,39
2018-04-15,45
2018-04-22,91
2018-04-29,100
2018-05-06,62
2018-05-13,48
2018-05-20,38
2018-05-27,33
2018-06-03,27
2018-06-10,26
2018-06-17,22
2018-06-24,21
2018-07-01,24
2018-07-08,22
2018-07-15,20
2018-07-22,19
2018-07-29,24
2018-08-05,22
2018-08-12,23
2018-08-19,22
2018-08-26,22
2018-09-02,21
2018-09-09,21
2018-09-16,21
2018-09-23,21
2018-09-30,21
2018-10-07,20
2018-10-14,21
2018-10-21,23
2018-10-28,22
2018-11-04,23
2018-11-11,26
2018-11-18,21
2018-11-25,24
2018-12-02,26
2018-12-09,26
2018-12-16,23
2018-12-23,22
2018-12-30,22
2019-01-06,57
2019-01-13,59
2019-01-20,57
2019-01-27,58
2019-02-03,61
2019-02-10,60
2019-02-17,59
2019-02-24,65
2019-03-03,62
2019-03-10,61
2019-03-17,63
2019-03-24,61
2019-03-31,68
2019-04-07,69
2019-04-14,69
2019-04-21,81
2019-04-28,88
2019-05-05,81
2019-05-12,76
2019-05-19,68
2019-05-26,62
2019-06-02,55
2019-06-09,46
2019-06-16,45
2019-06-23,42
2019-06-30,46
2019-07-07,39
2019-07-14,38
2019-07-21,37
2019-07-28,37
2019-08-04,37
2019-08-11,39
2019-08-18,40
2019-08-25,45
2019-09-01,46
2019-09-08,48
2019-09-15,49
2019-09-22,49
2019-09-29,54
2019-10-06,53
2019-10-13,51
2019-10-20,55
2019-10-27,54
2019-11-03,55
2019-11-10,57
2019-11-17,56
2019-11-24,46
2019-12-01,56
2019-12-08,57
2019-12-15,51
2019-12-22,41
2019-12-29,100
2020-01-05,95
2020-01-12,52
2020-01-19,50
2020-01-26,51
2020-02-02,49
2020-02-09,54
2020-02-16,50
2020-02-23,54
2020-03-01,54
2020-03-08,52
2020-03-15,49
2020-03-22,54
2020-03-29,64
2020-04-05,56
2020-04-12,59
2020-04-19,63
2020-04-26,65
2020-05-03,66
2020-05-10,62
2020-05-17,57
2020-05-24,55
2020-05-31,52
2020-06-07,48
2020-06-14,47
2020-06-21,44
2020-06-28,44
2020-07-05,42
2020-07-12,38
2020-07-19,39
2020-07-26,39
2020-08-02,36
2020-08-09,39
2020-08-16,41
2020-08-23,52
2020-08-30,49
2020-09-06,51
2020-09-13,58
2020-09-20,52
2020-09-27,52
2020-10-04,56
2020-10-11,59
2020-10-18,51
2020-10-25,48
2020-11-01,50
2020-11-08,89
2020-11-15,100
2020-11-22,79
2020-11-29,69
2020-12-06,69
