Catégorie : Toutes catégories

Mois,buy: (États-Unis),hold: (États-Unis),headlines: (États-Unis),present: (États-Unis),crisis: (États-Unis)
2009-09,58,5,1,3,3
2009-10,59,5,1,3,3
2009-11,77,5,1,3,3
2009-12,83,5,1,4,3
2010-01,61,5,1,2,3
2010-02,58,5,1,3,3
2010-03,55,5,1,3,3
2010-04,54,6,1,3,3
2010-05,58,6,1,3,4
2010-06,62,6,< 1,2,3
2010-07,60,6,< 1,2,2
2010-08,58,5,< 1,2,2
2010-09,59,6,< 1,2,2
2010-10,56,6,< 1,3,2
2010-11,79,6,< 1,3,3
2010-12,86,7,< 1,3,2
2011-01,74,8,< 1,2,2
2011-02,71,8,1,3,3
2011-03,69,7,1,2,4
2011-04,66,7,< 1,3,3
2011-05,70,6,1,3,3
2011-06,73,7,1,2,2
2011-07,71,6,1,2,2
2011-08,72,6,2,2,2
2011-09,71,6,2,3,2
2011-10,69,6,2,3,3
2011-11,96,6,2,3,3
2011-12,100,6,1,4,2
2012-01,74,6,1,2,2
2012-02,72,6,1,3,2
2012-03,71,6,1,3,2
2012-04,62,6,1,3,3
2012-05,66,6,1,3,3
2012-06,70,6,1,2,2
2012-07,71,6,1,2,2
2012-08,69,6,1,2,2
2012-09,69,6,1,3,2
2012-10,64,6,1,3,3
2012-11,91,6,1,3,3
2012-12,95,6,1,4,2
2013-01,69,6,1,3,2
2013-02,67,6,< 1,3,2
2013-03,68,6,1,3,3
2013-04,63,6,1,3,3
2013-05,65,7,< 1,3,3
2013-06,68,7,< 1,2,2
2013-07,70,7,< 1,2,2
2013-08,67,7,< 1,2,2
2013-09,67,6,< 1,3,2
2013-10,63,6,1,3,2
2013-11,89,6,< 1,3,2
2013-12,100,6,< 1,4,2
2014-01,71,6,1,3,2
2014-02,67,6,1,3,2
2014-03,64,6,1,3,4
2014-04,60,7,1,3,3
2014-05,62,6,1,3,3
2014-06,63,6,< 1,2,2
2014-07,66,6,< 1,2,2
2014-08,67,7,1,2,2
2014-09,64,6,1,3,2
2014-10,61,7,1,3,2
2014-11,84,7,1,3,2
2014-12,89,7,< 1,4,2
2015-01,66,6,1,3,2
2015-02,60,6,1,3,2
2015-03,60,6,1,3,2
2015-04,57,6,1,3,3
2015-05,61,6,1,3,3
2015-06,65,7,1,2,2
2015-07,67,7,1,2,2
2015-08,71,7,1,2,2
2015-09,63,7,1,3,3
2015-10,61,7,1,3,3
2015-11,84,6,1,4,3
2015-12,85,6,1,5,2
2016-01,64,6,1,3,3
2016-02,63,7,1,4,3
2016-03,59,7,1,3,3
2016-04,61,7,1,3,3
2016-05,62,8,1,3,3
2016-06,64,7,1,2,2
2016-07,64,7,1,2,2
2016-08,63,7,1,2,2
2016-09,62,7,1,3,2
2016-10,60,7,1,3,2
2016-11,83,7,1,4,3
2016-12,83,7,1,5,2
2017-01,64,7,1,3,2
2017-02,61,7,1,3,3
2017-03,62,7,1,3,3
2017-04,58,7,1,3,3
2017-05,61,7,1,3,3
2017-06,62,7,1,2,2
2017-07,65,7,1,2,2
2017-08,68,7,1,2,2
2017-09,60,7,1,3,2
2017-10,58,6,1,3,3
2017-11,91,7,1,4,3
2017-12,85,7,1,4,3
2018-01,61,6,1,3,2
2018-02,60,7,1,3,3
2018-03,59,7,1,3,3
2018-04,58,7,1,3,3
2018-05,59,7,1,3,3
2018-06,63,7,1,2,2
2018-07,66,7,1,2,2
2018-08,62,7,1,2,2
2018-09,61,7,1,3,2
2018-10,58,8,1,3,2
2018-11,81,7,1,4,3
2018-12,80,7,1,4,2
2019-01,60,7,1,3,2
2019-02,57,7,1,3,3
2019-03,61,7,1,3,3
2019-04,60,7,1,3,3
2019-05,60,7,1,3,3
2019-06,64,7,1,2,2
2019-07,63,7,1,2,2
2019-08,63,7,1,2,2
2019-09,59,7,1,3,2
2019-10,57,7,1,3,3
2019-11,77,7,1,3,3
2019-12,81,7,1,4,4
2020-01,60,7,1,3,3
2020-02,62,7,1,3,3
2020-03,70,8,1,3,4
2020-04,77,8,1,4,4
2020-05,82,8,1,3,3
2020-06,78,8,1,2,3
2020-07,76,8,1,2,2
2020-08,73,7,1,2,2
2020-09,66,7,1,4,2
2020-10,68,8,1,4,2
2020-11,95,7,1,4,2
2020-12,90,7,1,5,2
